bord,wit,welo,wres,zres,zwart,zelo
1,Bertram Johannes,1833,0,1,Dgebuadze Alexandre,2460
2,Geirnaert Steven,2394,1,0,Mechkor Mohamed,1813
3,Ramacker Nico,1804,0,1,Lenaerts Lennert,2325
4,Alienkin Aleksander,2302,1,0,Aguilar Adriano,1798
5,Maerevoet Tim,1792,0,1,Sochacki Wojtek,2284
6,Maerevoet Sim,2243,1,0,De Reymaeker Walter,1787
7,Vanduyfhuys Daria,1784,0,1,Roos Adrian,2235
8,Wantiez Fabrice,2229,1,0,Temmerman Sara,1783
9,Dgebuadze Marie,1778,1,0,Cools Gorik,2218
10,Penson Thierry,2180,1,0,Chaillou Thibault,1774
11,De Schouwer Jonas,1771,0,1,Allaert Dimitri,2168
12,Akhayan Ruben,2166,1,0,Van De Putte Ben,1759
13,Dreelinck Adriaan,1754,0,1,Defromont Benjamin,2134
14,Van Herck Marcel,2122,0.5,0.5,Pepermans Jelle,1748
15,De Witte Stein,1736,0.5,0.5,Stinis Steven,2114
16,Ismail Tamer,2100,1,0,Wouters Maarten,1735
17,Temmerman Sander,1731,0,1,Depauw Christian,2081
18,Maddens Martijn,2079,0,1,De Baets Keano,1719
19,Van Bunderen Gert,1718,0,1,Van Hoofstat Tom,2072
20,Roos David,2065,0,1,Parreira Luis Miguel,1715
21,Saag Enith Li,1693,1,0,Vanderwaeren Serge,2058
22,Khonghaloos Galeh,2056,1,0,Ismail Nersin,1689
23,Bernaert Michael,1664,0,1,Ramacker Quinten,2046
24,Versyck Dominique,2026,0,1,Aguilar Luciano,1663
25,Flikweert Henry,1656,0,1,Moreels Yves,2023
26,Soubirou Oriane,2020,1,0,Dreelinck Jacob,1632
27,Wilmots Yentl,1611,0,1,Victor Julian,2007
28,Van Vliet Dennis,2003,0.5,0.5,Khonghaloos Zorik,1569
29,Cornelis Eric,1565,0,1,Aglave Arnaud,1997
30,Iolis Oleg,1984,0,1,Veldeman Sieben,1561
31,Van Steenwinckel Hugo,1554,0,1,Geboers Jimmy,1976
32,Colin Peter,1968,0,1,Boncourre Tanguy,1539
33,De Meyere Dirk,1539,0,1,Lot Diederik,1965
34,Ouaki Mark,1964,1,0,Sohet Cedric,1537
35,Fivez Stev,1518,0,1,Van De Wynkele Herman,1957
36,Ronse Ivan,1932,0,1,Bontemps Cedric,1474
37,Oostenbach Ronny,1442,0,1,Vanstraelen Roel,1923
38,Miulescu Gabriel,1919,1,0,Van Der Voorde Sonja,1366
39,Van Quekelberghe Maarten,1302,0,1,Kegels Kristof,1896
40,Macai Ioan,1891,1,0,Pleska Arijus,1278
41,Van Overstraeten Frank,1250,0,1,Roels Frederik,1891
42,Butzen Robin,1887,1,0,Al-Kili Adil Sofia,1157
43,Al-Kili Adil Ines,1112,0,1,Denys Frank,1878
44,Vanmuylder Dany,1863,1,0,Denayer Jarne,0
45,Wille Geert,0,0,1,Rivet Cyrille,1855
46,Arcelin Gael,1854,1,0,Sissau Arno,0
47,Dreezen Thomas,0,0,1,De Reese Elias,1838
48,Dorjbajar Amarjargal,1815,1,0,Laraibi Mahammad Javad,1517
