bord,wit,welo,wres,zres,zwart,zelo
1,Alienkin Aleksander,2302,1,0,Sochacki Wojtek,2284
2,Lenaerts Lennert,2325,1,0,Geirnaert Steven,2394
3,Maerevoet Sim,2243,0,1,Penson Thierry,2180
4,Dgebuadze Alexandre,2460,1,0,Dreelinck Adriaan,1754
5,Roos Adrian,2235,0,1,Victor Julian,2007
6,Dreelinck Jacob,1632,1,0,Ismail Tamer,2100
7,Moreels Yves,2023,0,1,Akhayan Ruben,2166
8,Defromont Benjamin,2134,1,0,Soubirou Oriane,2020
9,Khonghaloos Galeh,2056,0,1,Van Vliet Dennis,2003
10,Ramacker Quinten,2046,1,0,Aglave Arnaud,1997
11,Lot Diederik,1965,0.5,0.5,Roos David,2065
12,Allaert Dimitri,2168,1,0,Versyck Dominique,2026
13,Van Hoofstat Tom,2072,0,1,Vanduyfhuys Daria,1784
14,De Baets Keano,1719,0,1,Arcelin Gael,1854
15,Roels Frederik,1891,0,1,Cools Gorik,2218
16,Van Herck Marcel,2122,0,1,Macai Ioan,1891
17,De Reese Elias,1838,0.5,0.5,Depauw Christian,2081
18,Vanmuylder Dany,1863,0,1,Maddens Martijn,2079
19,Bertram Johannes,1833,0,1,Geboers Jimmy,1976
20,Dorjbajar Amarjargal,1815,0,1,Ouaki Mark,1964
21,Chaillou Thibault,1774,0,1,Miulescu Gabriel,1919
22,Kegels Kristof,1896,0,1,Aguilar Adriano,1798
23,Rivet Cyrille,1855,1,0,Stinis Steven,2114
24,Aguilar Luciano,1663,1,0,Ronse Ivan,1932
25,Butzen Robin,1887,0,1,Maerevoet Tim,1792
26,Denys Frank,1878,1,0,Van De Putte Ben,1759
27,Parreira Luis Miguel,1715,0,1,Wantiez Fabrice,2229
28,Vanderwaeren Serge,2058,0,1,Bernaert Michael,1664
29,Saag Enith Li,1693,1,0,Colin Peter,1968
30,Van De Wynkele Herman,1957,0.5,0.5,Khonghaloos Zorik,1569
31,Mechkor Mohamed,1813,0,1,De Schouwer Jonas,1771
32,De Reymaeker Walter,1787,1,0,Van Bunderen Gert,1718
33,Bontemps Cedric,1474,1,0,Temmerman Sara,1783
34,Dgebuadze Marie,1778,1,0,Veldeman Sieben,1561
35,Pepermans Jelle,1748,1,0,Dreezen Thomas,0
36,De Witte Stein,1736,1,0,Degraeve Ruben,1619
37,Laraibi Mahammad Javad,1517,1,0,Wouters Maarten,1735
38,Sohet Cedric,1537,1,0,Temmerman Sander,1731
39,Ismail Nersin,1689,0,1,Cornelis Eric,1565
40,Boncourre Tanguy,1539,0,1,Ramacker Nico,1804
41,Fivez Stev,1518,0,1,Flikweert Henry,1656
42,Oostenbach Ronny,1442,1,0,Wilmots Yentl,1611
43,Sissau Arno,0,0,1,Van Steenwinckel Hugo,1554
44,De Meyere Dirk,1539,0,1,Pleska Arijus,1278
45,Van Der Voorde Sonja,1366,1,0,Al-Kili Adil Ines,1112
46,Van Overstraeten Frank,1250,1,0,Denayer Jarne,0
47,Al-Kili Adil Sofia,1157,0,1,Wille Geert,0
48,Van Quekelberghe Maarten,1302,,,Bye,
