bord,wit,welo,wres,zres,zwart,zelo
1,Dgebuadze Alexandre,2460,0,1,Lot Diederik,1965
2,Van De Wynkele Herman,1957,0,1,Geirnaert Steven,2394
3,Lenaerts Lennert,2325,1,0,Ouaki Mark,1964
4,Vanstraelen Roel,1923,0,1,Alienkin Aleksander,2302
5,Sochacki Wojtek,2284,1,0,Miulescu Gabriel,1919
6,Kegels Kristof,1896,0,1,Maerevoet Sim,2243
7,Roos Adrian,2235,1,0,Roels Frederik,1891
8,Denys Frank,1878,0,1,Wantiez Fabrice,2229
9,Rivet Cyrille,1855,1,0,Penson Thierry,2180
10,Allaert Dimitri,2168,1,0,Macai Ioan,1891
11,De Reese Elias,1838,0,1,Akhayan Ruben,2166
12,Defromont Benjamin,2134,1,0,Butzen Robin,1887
13,De Baets Keano,1719,0,1,Ismail Tamer,2100
14,Depauw Christian,2081,1,0,Vanmuylder Dany,1863
15,Van Hoofstat Tom,2072,0,1,Arcelin Gael,1854
16,Parreira Luis Miguel,1715,1,0,Khonghaloos Galeh,2056
17,Ramacker Quinten,2046,1,0,Dorjbajar Amarjargal,1815
18,Moreels Yves,2023,1,0,Dgebuadze Marie,1778
19,Aguilar Luciano,1663,0.5,0.5,Soubirou Oriane,2020
20,Victor Julian,2007,1,0,Saag Enith Li,1693
21,Aglave Arnaud,1997,1,0,Veldeman Sieben,1561
22,Geboers Jimmy,1976,1,0,Boncourre Tanguy,1539
23,Bontemps Cedric,1474,1,0,Van Herck Marcel,2122
24,Stinis Steven,2114,0,1,Van Vliet Dennis,2003
25,Pepermans Jelle,1748,1,0,De Witte Stein,1736
26,Khonghaloos Zorik,1569,0,1,Maddens Martijn,2079
27,Cools Gorik,2218,1,0,Bernaert Michael,1664
28,Ismail Nersin,1689,0,1,Roos David,2065
29,Vanderwaeren Serge,2058,1,0,Flikweert Henry,1656
30,Dreelinck Jacob,1632,0.5,0.5,Versyck Dominique,2026
31,Wilmots Yentl,1611,0,1,Iolis Oleg,1984
32,Cornelis Eric,1565,0,1,Colin Peter,1968
33,Van Steenwinckel Hugo,1554,0,1,Ronse Ivan,1932
34,De Meyere Dirk,1539,0,1,Bertram Johannes,1833
35,Mechkor Mohamed,1813,1,0,Fivez Stev,1518
36,Sohet Cedric,1537,0.5,0.5,Ramacker Nico,1804
37,Aguilar Adriano,1798,1,0,Oostenbach Ronny,1442
38,Van Der Voorde Sonja,1366,0,1,Maerevoet Tim,1792
39,De Reymaeker Walter,1787,1,0,Van Quekelberghe Maarten,1302
40,Pleska Arijus,1278,0,1,Vanduyfhuys Daria,1784
41,Temmerman Sara,1783,1,0,Van Overstraeten Frank,1250
42,Chaillou Thibault,1774,1,0,Al-Kili Adil Ines,1112
43,Al-Kili Adil Sofia,1157,0,1,De Schouwer Jonas,1771
44,Van De Putte Ben,1759,1,0,Dreezen Thomas,0
45,Denayer Jarne,0,0,1,Dreelinck Adriaan,1754
46,Wouters Maarten,1735,1,0,Wille Geert,0
47,Sissau Arno,0,0,1,Temmerman Sander,1731
48,Laraibi Mahammad Javad,1517,1,0,Van Bunderen Gert,1718
