bord,wit,welo,wres,zres,zwart,zelo
1,Sochacki Wojtek,2284,0.5,0.5,Van Vliet Dennis,2003
2,Alienkin Aleksander,2302,1,0,Maerevoet Sim,2243
3,Dgebuadze Alexandre,2460,1,0,Dreelinck Jacob,1632
4,Victor Julian,2007,0,1,Lenaerts Lennert,2325
5,Geirnaert Steven,2394,1,0,Defromont Benjamin,2134
6,Dreelinck Adriaan,1754,0,1,Penson Thierry,2180
7,Akhayan Ruben,2166,1,0,Roos David,2065
8,Roos Adrian,2235,1,0,Lot Diederik,1965
9,Macai Ioan,1891,0,1,Cools Gorik,2218
10,Vanduyfhuys Daria,1784,0,1,Ismail Tamer,2100
11,Depauw Christian,2081,0,1,Ramacker Quinten,2046
12,Allaert Dimitri,2168,1,0,Roels Frederik,1891
13,Miulescu Gabriel,1919,1,0,Moreels Yves,2023
14,Rivet Cyrille,1855,1,0,Soubirou Oriane,2020
15,Maerevoet Tim,1792,0,1,Geboers Jimmy,1976
16,De Reymaeker Walter,1787,0,1,Ouaki Mark,1964
17,Maddens Martijn,2079,1,0,Aguilar Luciano,1663
18,Arcelin Gael,1854,1,0,Khonghaloos Galeh,2056
19,Versyck Dominique,2026,1,0,Denys Frank,1878
20,Bontemps Cedric,1474,1,0,Butzen Robin,1887
21,Aguilar Adriano,1798,1,0,Van Herck Marcel,2122
22,Stinis Steven,2114,1,0,Mechkor Mohamed,1813
23,Bertram Johannes,1833,0,1,Van Hoofstat Tom,2072
24,Dorjbajar Amarjargal,1815,1,0,Vanderwaeren Serge,2058
25,Chaillou Thibault,1774,0,1,Aglave Arnaud,1997
26,Ronse Ivan,1932,1,0,Ramacker Nico,1804
27,Van De Putte Ben,1759,1,0,Vanmuylder Dany,1863
28,De Schouwer Jonas,1771,0.5,0.5,De Reese Elias,1838
29,Kegels Kristof,1896,1,0,De Baets Keano,1719
30,Pepermans Jelle,1748,0,1,Van De Wynkele Herman,1957
31,De Witte Stein,1736,0,1,Ismail Nersin,1689
32,Cornelis Eric,1565,0,1,Saag Enith Li,1693
33,Temmerman Sara,1783,0,1,Khonghaloos Zorik,1569
34,Wantiez Fabrice,2229,0,1,Bernaert Michael,1664
35,Wilmots Yentl,1611,0.5,0.5,Colin Peter,1968
36,Dgebuadze Marie,1778,1,0,Sohet Cedric,1537
37,Van Bunderen Gert,1718,1,0,Veldeman Sieben,1561
38,Flikweert Henry,1656,1,0,Parreira Luis Miguel,1715
39,Van Steenwinckel Hugo,1554,0,1,Wouters Maarten,1735
40,Temmerman Sander,1731,1,0,Dreezen Thomas,0
41,Laraibi Mahammad Javad,1517,1,0,Van Overstraeten Frank,1250
42,Degraeve Ruben,1619,0.5,0.5,De Meyere Dirk,1539
43,Wille Geert,0,0,1,Boncourre Tanguy,1539
44,Van Quekelberghe Maarten,1302,0,1,Oostenbach Ronny,1442
45,Sissau Arno,0,1,0,Al-Kili Adil Ines,1112
46,Al-Kili Adil Sofia,1157,0,1,Fivez Stev,1518
47,Denayer Jarne,0,0.5,0.5,Van Der Voorde Sonja,1366
48,Pleska Arijus,1278,,,Bye,
