bord,wit,welo,wres,zres,zwart,zelo
1,Sochacki Wojtek,2284,1,0,Dgebuadze Alexandre,2460
2,Geirnaert Steven,2394,1,0,Ismail Tamer,2100
3,Akhayan Ruben,2166,0,1,Lenaerts Lennert,2325
4,Alienkin Aleksander,2302,1,0,Ramacker Quinten,2046
5,Victor Julian,2007,0.5,0.5,Maerevoet Sim,2243
6,Penson Thierry,2180,1,0,Defromont Benjamin,2134
7,Roos David,2065,0,1,Roos Adrian,2235
8,Arcelin Gael,1854,0,1,Dreelinck Adriaan,1754
9,Cools Gorik,2218,0,1,Dreelinck Jacob,1632
10,Depauw Christian,2081,0,1,Lot Diederik,1965
11,Aguilar Adriano,1798,0,1,Khonghaloos Galeh,2056
12,Ouaki Mark,1964,0,1,Moreels Yves,2023
13,Soubirou Oriane,2020,1,0,Kegels Kristof,1896
14,Van Vliet Dennis,2003,1,0,Roels Frederik,1891
15,Macai Ioan,1891,0,1,Aglave Arnaud,1997
16,Van Herck Marcel,2122,0.5,0.5,Vanduyfhuys Daria,1784
17,Maerevoet Tim,1792,0,1,Allaert Dimitri,2168
18,Stinis Steven,2114,0,1,De Baets Keano,1719
19,Ronse Ivan,1932,0,1,Van Hoofstat Tom,2072
20,Versyck Dominique,2026,1,0,Rivet Cyrille,1855
21,Wantiez Fabrice,2229,0,1,Dorjbajar Amarjargal,1815
22,Maddens Martijn,2079,1,0,Dgebuadze Marie,1778
23,Chaillou Thibault,1774,1,0,Vanderwaeren Serge,2058
24,Geboers Jimmy,1976,1,0,Mechkor Mohamed,1813
25,Miulescu Gabriel,1919,1,0,De Reymaeker Walter,1787
26,Vanmuylder Dany,1863,1,0,Veldeman Sieben,1561
27,Van Bunderen Gert,1718,0,1,De Reese Elias,1838
28,Bertram Johannes,1833,1,0,Saag Enith Li,1693
29,Bontemps Cedric,1474,0,1,Denys Frank,1878
30,Wouters Maarten,1735,0,1,Butzen Robin,1887
31,Van De Putte Ben,1759,1,0,De Witte Stein,1736
32,Aguilar Luciano,1663,1,0,Pepermans Jelle,1748
33,Degraeve Ruben,1619,0,1,De Schouwer Jonas,1771
34,Colin Peter,1968,1,0,Flikweert Henry,1656
35,Van Steenwinckel Hugo,1554,0,1,Van De Wynkele Herman,1957
36,Ramacker Nico,1804,0,1,Khonghaloos Zorik,1569
37,Temmerman Sara,1783,1,0,Boncourre Tanguy,1539
38,Temmerman Sander,1731,0.5,0.5,Laraibi Mahammad Javad,1517
39,Wilmots Yentl,1611,0,1,Parreira Luis Miguel,1715
40,Dreezen Thomas,0,0.5,0.5,Ismail Nersin,1689
41,Bernaert Michael,1664,1,0,Fivez Stev,1518
42,Sohet Cedric,1537,1,0,Pleska Arijus,1278
43,Cornelis Eric,1565,1,0,Van Overstraeten Frank,1250
44,Denayer Jarne,0,0,1,De Meyere Dirk,1539
45,Wille Geert,0,0,1,Oostenbach Ronny,1442
46,Sissau Arno,0,1,0,Van Quekelberghe Maarten,1302
47,Al-Kili Adil Ines,1112,1,0,Al-Kili Adil Sofia,1157
48,Van Der Voorde Sonja,1366,,,Bye,
