bord,wit,welo,wres,zres,zwart,zelo
1,Geirnaert Steven,2394,0,1,Depauw Christian,2081
2,Ramacker Quinten,2046,0.5,0.5,Lenaerts Lennert,2325
3,Alienkin Aleksander,2302,0,1,Moreels Yves,2023
4,Victor Julian,2007,1,0,Sochacki Wojtek,2284
5,Maerevoet Sim,2243,1,0,Aglave Arnaud,1997
6,Geboers Jimmy,1976,0,1,Roos Adrian,2235
7,Wantiez Fabrice,2229,0,1,Rivet Cyrille,1855
8,Lot Diederik,1965,1,0,Allaert Dimitri,2168
9,Akhayan Ruben,2166,1,0,Parreira Luis Miguel,1715
10,Arcelin Gael,1854,0,1,Defromont Benjamin,2134
11,Ismail Tamer,2100,1,0,Bontemps Cedric,1474
12,Soubirou Oriane,2020,1,0,Pepermans Jelle,1748
13,Van Vliet Dennis,2003,1,0,Aguilar Luciano,1663
14,Dorjbajar Amarjargal,1815,0,1,Dgebuadze Alexandre,2460
15,Bertram Johannes,1833,0,1,Cools Gorik,2218
16,Penson Thierry,2180,0,1,De Reese Elias,1838
17,Maddens Martijn,2079,1,0,Mechkor Mohamed,1813
18,Maerevoet Tim,1792,1,0,Van Hoofstat Tom,2072
19,Roos David,2065,1,0,Aguilar Adriano,1798
20,Vanduyfhuys Daria,1784,1,0,Vanderwaeren Serge,2058
21,Khonghaloos Galeh,2056,1,0,De Reymaeker Walter,1787
22,Iolis Oleg,1984,1,0,Temmerman Sara,1783
23,Colin Peter,1968,1,0,Dgebuadze Marie,1778
24,Ouaki Mark,1964,1,0,Chaillou Thibault,1774
25,De Schouwer Jonas,1771,0,1,Van De Wynkele Herman,1957
26,Ronse Ivan,1932,1,0,Van De Putte Ben,1759
27,Dreelinck Adriaan,1754,1,0,Vanstraelen Roel,1923
28,Miulescu Gabriel,1919,1,0,Wouters Maarten,1735
29,Temmerman Sander,1731,1,0,Kegels Kristof,1896
30,Roels Frederik,1891,1,0,De Baets Keano,1719
31,Macai Ioan,1891,1,0,Saag Enith Li,1693
32,Veldeman Sieben,1561,0,1,Butzen Robin,1887
33,Boncourre Tanguy,1539,0,1,Denys Frank,1878
34,Vanmuylder Dany,1863,1,0,Laraibi Mahammad Javad,1517
35,Van Herck Marcel,2122,0,1,Dreelinck Jacob,1632
36,Ramacker Nico,1804,0,1,Stinis Steven,2114
37,Versyck Dominique,2026,0,1,Khonghaloos Zorik,1569
38,De Witte Stein,1736,0,1,Sohet Cedric,1537
39,Van Bunderen Gert,1718,1,0,Van Der Voorde Sonja,1366
40,Van Quekelberghe Maarten,1302,0,1,Ismail Nersin,1689
41,Bernaert Michael,1664,1,0,Pleska Arijus,1278
42,Flikweert Henry,1656,1,0,Al-Kili Adil Sofia,1157
43,Van Overstraeten Frank,1250,0,1,Wilmots Yentl,1611
44,Al-Kili Adil Ines,1112,0,1,Cornelis Eric,1565
45,Dreezen Thomas,0,1,0,Van Steenwinckel Hugo,1554
46,Wille Geert,0,0,1,De Meyere Dirk,1539
47,Fivez Stev,1518,1,0,Denayer Jarne,0
48,Oostenbach Ronny,1442,0,1,Sissau Arno,0
