bord,wit,welo,wres,zres,zwart,zelo
1,Ismail Tamer,2100,1,0,Maerevoet Sim,2243
2,Dgebuadze Alexandre,2460,1,0,Lenaerts Lennert,2325
3,Defromont Benjamin,2134,0.5,0.5,Alienkin Aleksander,2302
4,Sochacki Wojtek,2284,1,0,Khonghaloos Galeh,2056
5,Roos Adrian,2235,0.5,0.5,Ramacker Quinten,2046
6,Lot Diederik,1965,1,0,Wantiez Fabrice,2229
7,Dreelinck Adriaan,1754,0.5,0.5,Akhayan Ruben,2166
8,Cools Gorik,2218,1,0,Vanduyfhuys Daria,1784
9,Depauw Christian,2081,0,1,Arcelin Gael,1854
10,Aguilar Luciano,1663,0,1,Maerevoet Tim,1792
11,Dreelinck Jacob,1632,1,0,Maddens Martijn,2079
12,Roels Frederik,1891,0,1,Geirnaert Steven,2394
13,Butzen Robin,1887,0,1,Penson Thierry,2180
14,Rivet Cyrille,1855,0,1,Roos David,2065
15,Vanderwaeren Serge,2058,0,1,Macai Ioan,1891
16,Moreels Yves,2023,1,0,Vanmuylder Dany,1863
17,Denys Frank,1878,0,1,Victor Julian,2007
18,De Reese Elias,1838,0,1,Van Vliet Dennis,2003
19,Aglave Arnaud,1997,0,1,Aguilar Adriano,1798
20,Dgebuadze Marie,1778,0,1,Ouaki Mark,1964
21,Chaillou Thibault,1774,1,0,Ronse Ivan,1932
22,De Baets Keano,1719,0.5,0.5,Miulescu Gabriel,1919
23,Bontemps Cedric,1474,1,0,Colin Peter,1968
24,Parreira Luis Miguel,1715,0,1,Van Herck Marcel,2122
25,Stinis Steven,2114,0,1,Soubirou Oriane,2020
26,Pepermans Jelle,1748,0,1,Versyck Dominique,2026
27,Allaert Dimitri,2168,1,0,Temmerman Sander,1731
28,Wouters Maarten,1735,1,0,Iolis Oleg,1984
29,Saag Enith Li,1693,1,0,Geboers Jimmy,1976
30,Van De Wynkele Herman,1957,0,1,Van Bunderen Gert,1718
31,Kegels Kristof,1896,1,0,Bernaert Michael,1664
32,Ismail Nersin,1689,0,1,Bertram Johannes,1833
33,Veldeman Sieben,1561,0,1,Dorjbajar Amarjargal,1815
34,Mechkor Mohamed,1813,1,0,Flikweert Henry,1656
35,De Reymaeker Walter,1787,1,0,Wilmots Yentl,1611
36,Temmerman Sara,1783,0,1,Dreezen Thomas,0
37,Boncourre Tanguy,1539,1,0,De Schouwer Jonas,1771
38,Van De Putte Ben,1759,0.5,0.5,Degraeve Ruben,1619
39,Van Hoofstat Tom,2072,1,0,Sohet Cedric,1537
40,Van Der Voorde Sonja,1366,0,1,Ramacker Nico,1804
41,De Witte Stein,1736,1,0,Cornelis Eric,1565
42,Khonghaloos Zorik,1569,1,0,Vanstraelen Roel,1923
43,Van Quekelberghe Maarten,1302,0,1,Van Steenwinckel Hugo,1554
44,Sissau Arno,0,1,0,De Meyere Dirk,1539
45,Fivez Stev,1518,1,0,Wille Geert,0
46,Laraibi Mahammad Javad,1517,1,0,Oostenbach Ronny,1442
47,Pleska Arijus,1278,1,0,Denayer Jarne,0
48,Al-Kili Adil Ines,1112,0,1,Van Overstraeten Frank,1250
