bord,wit,welo,wres,zres,zwart,zelo
1,Sochacki Wojtek,2284,0.5,0.5,Lenaerts Lennert,2325
2,Penson Thierry,2180,0,1,Alienkin Aleksander,2302
3,Victor Julian,2007,0,1,Dreelinck Jacob,1632
4,Akhayan Ruben,2166,0,1,Dgebuadze Alexandre,2460
5,Geirnaert Steven,2394,1,0,Ramacker Quinten,2046
6,Van Vliet Dennis,2003,1,0,Defromont Benjamin,2134
7,Arcelin Gael,1854,0,1,Maerevoet Sim,2243
8,Dreelinck Adriaan,1754,1,0,Roos Adrian,2235
9,Vanduyfhuys Daria,1784,1,0,Allaert Dimitri,2168
10,Ismail Tamer,2100,0,1,Lot Diederik,1965
11,Aglave Arnaud,1997,0,1,Cools Gorik,2218
12,Maddens Martijn,2079,0,1,Geboers Jimmy,1976
13,Roos David,2065,1,0,Ouaki Mark,1964
14,Miulescu Gabriel,1919,1,0,Khonghaloos Galeh,2056
15,Macai Ioan,1891,1,0,Moreels Yves,2023
16,Soubirou Oriane,2020,1,0,Aguilar Adriano,1798
17,Depauw Christian,2081,1,0,De Baets Keano,1719
18,Rivet Cyrille,1855,1,0,Van Hoofstat Tom,2072
19,Versyck Dominique,2026,1,0,De Reese Elias,1838
20,Maerevoet Tim,1792,1,0,Denys Frank,1878
21,Wantiez Fabrice,2229,0,1,Aguilar Luciano,1663
22,De Reymaeker Walter,1787,1,0,Van Herck Marcel,2122
23,Kegels Kristof,1896,0,1,Chaillou Thibault,1774
24,Dgebuadze Marie,1778,0,1,Roels Frederik,1891
25,De Schouwer Jonas,1771,1,0,Vanmuylder Dany,1863
26,Bernaert Michael,1664,0,1,Bertram Johannes,1833
27,Dorjbajar Amarjargal,1815,0,1,Bontemps Cedric,1474
28,Stinis Steven,2114,1,0,Saag Enith Li,1693
29,De Witte Stein,1736,1,0,Van De Wynkele Herman,1957
30,Ronse Ivan,1932,1,0,Laraibi Mahammad Javad,1517
31,Khonghaloos Zorik,1569,0,1,Butzen Robin,1887
32,Van De Putte Ben,1759,0.5,0.5,Sohet Cedric,1537
33,Cornelis Eric,1565,1,0,Pepermans Jelle,1748
34,Veldeman Sieben,1561,0,1,Vanderwaeren Serge,2058
35,Van Steenwinckel Hugo,1554,0,1,Colin Peter,1968
36,Pleska Arijus,1278,0,1,Mechkor Mohamed,1813
37,Flikweert Henry,1656,0,1,Ramacker Nico,1804
38,Temmerman Sara,1783,1,0,Parreira Luis Miguel,1715
39,Van Bunderen Gert,1718,1,0,Oostenbach Ronny,1442
40,Wouters Maarten,1735,1,0,Van Der Voorde Sonja,1366
41,Temmerman Sander,1731,1,0,Van Overstraeten Frank,1250
42,Degraeve Ruben,1619,0,1,Ismail Nersin,1689
43,Dreezen Thomas,0,1,0,Boncourre Tanguy,1539
44,Van Quekelberghe Maarten,1302,0,1,De Meyere Dirk,1539
45,Wille Geert,0,1,0,Sissau Arno,0
46,Wilmots Yentl,1611,1,0,Al-Kili Adil Sofia,1157
47,Denayer Jarne,0,1,0,Al-Kili Adil Ines,1112
48,Fivez Stev,1518,,,Bye,
