wit,zwart,wr,zr
partij 1,,,
Mats,Johannes,1,0
Eric,Niels,1,0
Peter,Pieter,0.5,0.5
Serge,Diederik,1,0
Sander,Bye,1,0
partij 2,,,
wit,zwart,wr,zr
Johannes,Sander,1,0
Mats,Eric,0,1
Peter,Serge,0,1
Diederik,Pieter,1,0
Niels,Bye,1,0
partij 3,,,
wit,zwart,wr,zr
Serge,Eric,0.5,0.5
Johannes,Pieter,0,1
Diederik ,Peter,1,0
Sander,Niels,1,0
Mats,Bye,1,0
