bord,wit,welo,wres,zres,zwart,zelo
1,Boucquet Emile,2157,0.5,0.5,Hautot Stephane,2328
2,Dgebuadze Alexandre,2526,1,0,Lot Diederik,1976
3,Cools Gorik,2252,0,1,Lenaerts Lennert,2303
4,Mayr Thomas,2110,0,1,Alienkin Aleksander,2358
5,Roos Adrian,2289,1,0,Devolder Dieter,2058
6,Depauw Christian,2078,0,1,Wantiez Fabrice,2260
7,Aragones-Melhem Georgy,2026,1,0,Vanderwaeren Serge,2189
8,Huynh Laurent,1890,1,0,Goormachtigh Johan,2143
9,Van De Wynkele Herman,2030,0,1,Claesen Pieter,2318
10,Dardha Daniel,1932,1,0,Spanoghe Ivan,2090
11,Versyck Dominique,2015,0,1,Roos David,2079
12,Harutyunyan Axel,1954,0,1,Dardha Arben,2218
13,De Villers Mourad,2123,1,0,Vanmuylder Dany,1934
14,Solsky Itzhak,1942,0,1,Vanobbergh Gregory,2052
15,Kurpnieks Vairis,2047,0,1,Vanden Bussche Steven,1942
16,Roels Frederik,2010,1,0,Vanduyfhuys Daria,1488
17,De Block Yordi,1985,1,0,Sohet Cedric,1714
18,Lejeune Vincent,2054,1,0,Escribano Illan Juan Carlos,0
19,Miulescu Gabriel,2007,0,1,Atanasiu Nicolae,1926
20,Flamee Dirk,1757,0.5,0.5,De Block Fabio,1855
21,Saligo Luc,2067,1,0,De True Toon,1767
22,Soubrier Aude,1991,0,1,Barbier Astrid,1753
23,Verstraeten Jan,1953,0,1,Duringer Valentin,1830
24,Minet Julien,1919,0,1,Wlogalski Olivier,1668
25,Verrijken Geert,1908,1,0,Terryn Ezra,1800
26,Morozova Iuliia,1904,1,0,Degraeve Ruben,1614
27,Bertrand Stijn,1634,1,0,Meskens Stephan,1876
28,De Reymaeker Walter,1872,1,0,Taleb Mohamad,0
29,Vanduyfhuys Igor,1403,0,1,Pleysier Simon,1871
30,Parreira Luis Miguel,1833,1,0,Akuatse Angel Kaleb,1585
31,El Ayoubi Said,1574,1,0,Satti Abdelkader,1772
32,Riquembourg Julien,1622,0,1,Van De Velde Filip,1802
33,Drossart Jonathan,1732,1,0,De True Kwinten,1552
34,Caudron Meindert,1498,0.5,0.5,Van Haelst Raymond,1911
35,Silvain Thierry,1744,0,1,Marchal Laurent,1840
36,Pletinckx Eddy,1827,1,0,Van Haesendonck Robbe,0
37,De Bosscher Peter,1802,1,0,Licandro Federico,1522
38,Snyers Pieter,1572,0,1,Kuijpers Domien,1800
39,Elinckx Michel,1501,0.5,0.5,Vennekens Camiel,1786
40,Hamers Niels,0,0,1,Cornelis Eric,1733
41,Skowron Jean-Pol,1648,0,1,Guerit Justin,1564
42,Fivez Stev,1518,0.5,0.5,Van Steenwinckel Hugo,1573
43,Cirlig Carmen Cristina,0,0,1,Gulieva Karina,1412
44,Huysman Robert,1458,0,1,Bultijnck Kristoff,0
45,Lesschaeve Seppe,0,1,0,Anne Philippe,1409
46,D'Hoedt Bob,0,1,0,Lerinckx Sander,0
47,Beckers Stijn,0,0,1,Smeyers Johan,0
48,Bouaouina Ilias,0,0,1,Souweine Edwige,1022
49,Vanrossum Matthias,0,0,1,Marchal Anais,1401
50,Lerinckx Niels,0,1,0,Bye,0
