bord,wit,welo,wres,zres,zwart,zelo
1,Dgebuadze Alexandre,2526,1,0,Van De Velde Filip,1802
2,De Bosscher Peter,1802,0,1,Abolianin Arthur,2375
3,Alienkin Aleksander,2358,1,0,Terryn Ezra,1800
4,Kuijpers Domien,1800,0,1,Hautot Stephane,2328
5,Claesen Pieter,2318,1,0,Vennekens Camiel,1786
6,Satti Abdelkader,1772,0,1,Lenaerts Lennert,2303
7,Roos Adrian,2289,1,0,De True Toon,1767
8,Flamee Dirk,1757,0,1,Wantiez Fabrice,2260
9,Cools Gorik,2252,1,0,Barbier Astrid,1753
10,Silvain Thierry,1744,0,1,Dardha Arben,2218
11,Vanderwaeren Serge,2189,1,0,Cornelis Eric,1733
12,Drossart Jonathan,1732,0,1,Boucquet Emile,2157
13,Goormachtigh Johan,2143,1,0,Sohet Cedric,1714
14,Wlogalski Olivier,1668,0,1,De Villers Mourad,2123
15,Mayr Thomas,2110,1,0,Skowron Jean-Pol,1648
16,Bertrand Stijn,1634,0,1,Spanoghe Ivan,2090
17,Roos David,2079,0.5,0.5,Riquembourg Julien,1622
18,Degraeve Ruben,1614,0,1,Depauw Christian,2078
19,Saligo Luc,2067,1,0,Akuatse Angel Kaleb,1585
20,El Ayoubi Said,1574,0,1,Devolder Dieter,2058
21,Lejeune Vincent,2054,1,0,Van Steenwinckel Hugo,1573
22,Snyers Pieter,1572,0,1,Vanobbergh Gregory,2052
23,Kurpnieks Vairis,2047,1,0,Guerit Justin,1564
24,De True Kwinten,1552,0,1,Van De Wynkele Herman,2030
25,Aragones-Melhem Georgy,2026,1,0,Licandro Federico,1522
26,Fivez Stev,1518,0,1,Versyck Dominique,2015
27,Roels Frederik,2010,1,0,Elinckx Michel,1501
28,Caudron Meindert,1498,0,1,Miulescu Gabriel,2007
29,Soubrier Aude,1991,0,1,Vanduyfhuys Daria,1488
30,Huysman Robert,1458,0,1,De Block Yordi,1985
31,Lot Diederik,1976,1,0,Gulieva Karina,1412
32,Anne Philippe,1409,0,1,Harutyunyan Axel,1954
33,Verstraeten Jan,1953,1,0,Vanduyfhuys Igor,1403
34,Marchal Anais,1401,0,1,Solsky Itzhak,1942
35,Vanden Bussche Steven,1942,1,0,Souweine Edwige,1022
36,Cirlig Carmen Cristina,0,0,1,Vanmuylder Dany,1934
37,Dardha Daniel,1932,1,0,D'Hoedt Bob,0
38,Smeyers Johan,0,0,1,Atanasiu Nicolae,1926
39,Minet Julien,1919,1,0,Escribano Illan Juan Carlos,0
40,Vanrossum Matthias,0,0,1,Van Haelst Raymond,1911
41,Verrijken Geert,1908,1,0,Lerinckx Niels,0
42,Hamers Niels,0,0,1,Morozova Iuliia,1904
43,Huynh Laurent,1890,1,0,Beckers Stijn,0
44,Huyghe Felix,0,0,1,Meskens Stephan,1876
45,De Reymaeker Walter,1872,0,1,Van Haesendonck Robbe,0
46,Bultijnck Kristoff,0,0,1,Pleysier Simon,1871
47,De Block Fabio,1855,1,0,Lesschaeve Seppe,0
48,Lerinckx Sander,0,0,1,Marchal Laurent,1840
49,Parreira Luis Miguel,1833,1,0,Bouaouina Ilias,0
50,Laureys Mats,0,0,1,Duringer Valentin,1830
51,Pletinckx Eddy,1827,0,1,Taleb Mohamad,0
