bord,wit,welo,wres,zres,zwart,zelo
1,Dgebuadze Alexandre,2526,1,0,Boucquet Emile,2157
2,Cools Gorik,2252,0,1,Alienkin Aleksander,2358
3,Claesen Pieter,2318,0,1,Hautot Stephane,2328
4,Abolianin Arthur,2375,1,0,Lenaerts Lennert,2303
5,Mayr Thomas,2110,0.5,0.5,Wantiez Fabrice,2260
6,Parreira Luis Miguel,1833,0,1,Dardha Arben,2218
7,Vanderwaeren Serge,2189,1,0,Dardha Daniel,1932
8,Roos Adrian,2289,1,0,Roels Frederik,2010
9,Goormachtigh Johan,2143,0.5,0.5,Lot Diederik,1976
10,Saligo Luc,2067,1,0,Vanden Bussche Steven,1942
11,Harutyunyan Axel,1954,1,0,Lejeune Vincent,2054
12,Kurpnieks Vairis,2047,0.5,0.5,Vanmuylder Dany,1934
13,Aragones-Melhem Georgy,2026,1,0,Vennekens Camiel,1786
14,Huynh Laurent,1890,1,0,Versyck Dominique,2015
15,De Reymaeker Walter,1872,0.5,0.5,De Villers Mourad,2123
16,De Block Fabio,1855,0,1,Roos David,2079
17,Minet Julien,1919,0,1,Devolder Dieter,2058
18,Barbier Astrid,1753,0,1,Vanobbergh Gregory,2052
19,Van De Wynkele Herman,2030,0,1,Atanasiu Nicolae,1926
20,De True Kwinten,1552,0,1,De Block Yordi,1985
21,Verstraeten Jan,1953,0,1,Vanduyfhuys Daria,1488
22,De Bosscher Peter,1802,0,1,Spanoghe Ivan,2090
23,Kuijpers Domien,1800,0,1,Depauw Christian,2078
24,Soubrier Aude,1991,1,0,Terryn Ezra,1800
25,Solsky Itzhak,1942,1,0,De True Toon,1767
26,Flamee Dirk,1757,1,0,Van Haelst Raymond,1911
27,Verrijken Geert,1908,0,1,Taleb Mohamad,0
28,Silvain Thierry,1744,1,0,Morozova Iuliia,1904
29,El Ayoubi Said,1574,0.5,0.5,Pleysier Simon,1871
30,Snyers Pieter,1572,0,1,Marchal Laurent,1840
31,Escribano Illan Juan Carlos,0,1,0,Duringer Valentin,1830
32,Satti Abdelkader,1772,0,1,Sohet Cedric,1714
33,Skowron Jean-Pol,1648,0,1,Miulescu Gabriel,2007
34,Gulieva Karina,1412,0,1,Meskens Stephan,1876
35,Degraeve Ruben,1614,0,1,Van De Velde Filip,1802
36,Drossart Jonathan,1732,0,1,Riquembourg Julien,1622
37,Pletinckx Eddy,1827,0,1,Vanduyfhuys Igor,1403
38,Wlogalski Olivier,1668,1,0,Souweine Edwige,1022
39,Bertrand Stijn,1634,1,0,Smeyers Johan,0
40,Marchal Anais,1401,0,1,Akuatse Angel Kaleb,1585
41,Cirlig Carmen Cristina,0,0,1,Van Steenwinckel Hugo,1573
42,D'Hoedt Bob,0,0,1,Guerit Justin,1564
43,Van Haesendonck Robbe,0,1,0,Licandro Federico,1522
44,Bultijnck Kristoff,0,1,0,Elinckx Michel,1501
45,Caudron Meindert,1498,1,0,Lesschaeve Seppe,0
46,Fivez Stev,1518,1,0,Hamers Niels,0
47,Huyghe Felix,0,0,1,Cornelis Eric,1733
48,Laureys Mats,0,0,1,Huysman Robert,1458
49,Lerinckx Sander,0,1,0,Anne Philippe,1409
50,Beckers Stijn,0,1,0,Bouaouina Ilias,0
51,Vanrossum Matthias,0,1,0,Lerinckx Niels,0
