bord,wit,welo,wres,zres,zwart,zelo
1,Cools Gorik,2252,0.5,0.5,Dgebuadze Alexandre,2526
2,Hautot Stephane,2328,1,0,Roos Adrian,2289
3,Lenaerts Lennert,2303,1,0,Alienkin Aleksander,2358
4,Claesen Pieter,2318,1,0,Lot Diederik,1976
5,De Block Yordi,1985,0.5,0.5,Aragones-Melhem Georgy,2026
6,Abolianin Arthur,2375,0,1ff ,Wantiez Fabrice,2260
7,Versyck Dominique,2015,1,0,Dardha Arben,2218
8,Harutyunyan Axel,1954,1,0,Vanderwaeren Serge,2189
9,Boucquet Emile,2157,1,0,Atanasiu Nicolae,1926
10,De Villers Mourad,2123,0,1,Huynh Laurent,1890
11,Roos David,2079,1,0,Sohet Cedric,1714
12,Vanduyfhuys Daria,1488,0,1,Goormachtigh Johan,2143
13,Vanobbergh Gregory,2052,0.5,0.5,Vanmuylder Dany,1934
14,Miulescu Gabriel,2007,1,0,Kurpnieks Vairis,2047
15,Dardha Daniel,1932,0,1,Van De Wynkele Herman,2030
16,Vanden Bussche Steven,1942,0,1,Mayr Thomas,2110
17,Spanoghe Ivan,2090,1,0,Van Haelst Raymond,1911
18,Depauw Christian,2078,1,0,Minet Julien,1919
19,Duringer Valentin,1830,0,1,Saligo Luc,2067
20,Vanduyfhuys Igor,1403,0,1,Devolder Dieter,2058
21,Lejeune Vincent,2054,0,1,Verrijken Geert,1908
22,Roels Frederik,2010,0,1,De Reymaeker Walter,1872
23,Escribano Illan Juan Carlos,0,1,0,Solsky Itzhak,1942
24,Soubrier Aude,1991,0,1,De Block Fabio,1855
25,El Ayoubi Said,1574,0.5,0.5,Verstraeten Jan,1953
26,Riquembourg Julien,1622,0,1,Morozova Iuliia,1904
27,Meskens Stephan,1876,0,1,Parreira Luis Miguel,1833
28,Pleysier Simon,1871,0.5,0.5,Flamee Dirk,1757
29,Marchal Laurent,1840,1,0,De True Kwinten,1552
30,Silvain Thierry,1744,1,0,Pletinckx Eddy,1827
31,Guerit Justin,1564,0,1,De Bosscher Peter,1802
32,Terryn Ezra,1800,1,0,Bertrand Stijn,1634
33,Elinckx Michel,1501,0,1,Kuijpers Domien,1800
34,Vennekens Camiel,1786,0,1,Degraeve Ruben,1614
35,De True Toon,1767,1,0,Van Haesendonck Robbe,0
36,Taleb Mohamad,0,0.5,0.5,Barbier Astrid,1753
37,Van De Velde Filip,1802,0,1,Caudron Meindert,1498
38,Satti Abdelkader,1772,1,0,Fivez Stev,1518
39,Cornelis Eric,1733,1,0,Marchal Anais,1401
40,Hamers Niels,0,0,1,Drossart Jonathan,1732
41,Van Steenwinckel Hugo,1573,1,0,Skowron Jean-Pol,1648
42,Lesschaeve Seppe,0,0,1,Wlogalski Olivier,1668
43,Akuatse Angel Kaleb,1585,1,0,Cirlig Carmen Cristina,0
44,Snyers Pieter,1572,1,0,D'Hoedt Bob,0
45,Licandro Federico,1522,1,0,Lerinckx Sander,0
46,Souweine Edwige,1022,0,1,Bultijnck Kristoff,0
47,Gulieva Karina,1412,1,0,Smeyers Johan,0
48,Lerinckx Niels,0,1,0,Huysman Robert,1458
49,Huyghe Felix,0,0,1,Anne Philippe,1409
50,Beckers Stijn,0,1,0,Vanrossum Matthias,0
51,Bouaouina Ilias,0,1,0,Bye,0
