bord,wit,welo,wres,zres,zwart,zelo
1,Alienkin Aleksander,2358,0,1,Hautot Stephane,2328
2,Dgebuadze Alexandre,2526,0.5,0.5,Claesen Pieter,2318
3,Cools Gorik,2252,1,0,Abolianin Arthur,2375
4,Huynh Laurent,1890,0,1,Lenaerts Lennert,2303
5,Roos Adrian,2289,1,0,Dardha Arben,2218
6,Vanderwaeren Serge,2189,0,1,Wantiez Fabrice,2260
7,Aragones-Melhem Georgy,2026,1,0,Dardha Daniel,1932
8,Vanmuylder Dany,1934,0,1,De Block Yordi,1985
9,Lot Diederik,1976,1,0,Vanduyfhuys Daria,1488
10,Devolder Dieter,2058,0,1,Boucquet Emile,2157
11,Solsky Itzhak,1942,0,1,De Villers Mourad,2123
12,Mayr Thomas,2110,0,1,Versyck Dominique,2015
13,Atanasiu Nicolae,1926,1,0,Spanoghe Ivan,2090
14,Depauw Christian,2078,0,1,Harutyunyan Axel,1954
15,Sohet Cedric,1714,1,0,Saligo Luc,2067
16,Goormachtigh Johan,2143,1,0,Escribano Illan Juan Carlos,0
17,Verstraeten Jan,1953,0,1,Roos David,2079
18,De Reymaeker Walter,1872,0.5,0.5,Lejeune Vincent,2054
19,Flamee Dirk,1757,0,1,Vanobbergh Gregory,2052
20,Kurpnieks Vairis,2047,1,0,Meskens Stephan,1876
21,Parreira Luis Miguel,1833,0,1,Van De Wynkele Herman,2030
22,De True Kwinten,1552,0,1,Miulescu Gabriel,2007
23,De Bosscher Peter,1802,0,1,Roels Frederik,2010
24,Soubrier Aude,1991,0.5,0.5,Riquembourg Julien,1622
25,Kuijpers Domien,1800,0,1,Vanden Bussche Steven,1942
26,Minet Julien,1919,1,0,Terryn Ezra,1800
27,Vennekens Camiel,1786,0,1,Van Haelst Raymond,1911
28,Verrijken Geert,1908,1,0,De True Toon,1767
29,Marchal Laurent,1840,0,1,Vanduyfhuys Igor,1403
30,Silvain Thierry,1744,0,1,Duringer Valentin,1830
31,Morozova Iuliia,1904,1,0,Taleb Mohamad,0
32,Caudron Meindert,1498,0,1,Pleysier Simon,1871
33,De Block Fabio,1855,1,0,Drossart Jonathan,1732
34,El Ayoubi Said,1574,1,0,Van De Velde Filip,1802
35,Barbier Astrid,1753,0.5,0.5,Degraeve Ruben,1614
36,Pletinckx Eddy,1827,1,0,Lesschaeve Seppe,0
37,Fivez Stev,1518,0.5,0.5,Cornelis Eric,1733
38,Wlogalski Olivier,1668,0,1,Guerit Justin,1564
39,Bertrand Stijn,1634,1,0,Licandro Federico,1522
40,Van Haesendonck Robbe,0,1,0,Akuatse Angel Kaleb,1585
41,Marchal Anais,1401,0.5,0.5,Van Steenwinckel Hugo,1573
42,Snyers Pieter,1572,0,1,Elinckx Michel,1501
43,Bultijnck Kristoff,0,0,1,Hamers Niels,0
44,Skowron Jean-Pol,1648,1,0,Gulieva Karina,1412
45,Huysman Robert,1458,0,1,Satti Abdelkader,1772
46,Anne Philippe,1409,0,1,Smeyers Johan,0
47,Vanrossum Matthias,0,0,1,Souweine Edwige,1022
48,Cirlig Carmen Cristina,0,1,0,Beckers Stijn,0
49,Lerinckx Sander,0,1,0,Lerinckx Niels,0
50,D'Hoedt Bob,0,1,0,Bouaouina Ilias,0
51,Huyghe Felix,0,1,0,Bye,0
