bord,wit,welo,wres,zres,zwart,zelo
1,Lenaerts Lennert,2303,0,1,Dgebuadze Alexandre,2526
2,Abolianin Arthur,2375,1,0,Roos Adrian,2289
3,Boucquet Emile,2157,0,1,Alienkin Aleksander,2358
4,Hautot Stephane,2328,0,1,Cools Gorik,2252
5,Pleysier Simon,1871,0,1,Claesen Pieter,2318
6,Dardha Daniel,1932,1,0,Kurpnieks Vairis,2047
7,Roos David,2079,0,1,Dardha Arben,2218
8,Wantiez Fabrice,2260,0.5,0.5,Verstraeten Jan,1953
9,Solsky Itzhak,1942,0,1,Vanderwaeren Serge,2189
10,Vanmuylder Dany,1934,0,1,Goormachtigh Johan,2143
11,De Villers Mourad,2123,0.5,0.5,Vanden Bussche Steven,1942
12,Atanasiu Nicolae,1926,0,1,Mayr Thomas,2110
13,Spanoghe Ivan,2090,0.5,0.5,Minet Julien,1919
14,Depauw Christian,2078,1,0,Verrijken Geert,1908
15,Van Haelst Raymond,1911,0,1,Saligo Luc,2067
16,Devolder Dieter,2058,0.5,0.5,Huynh Laurent,1890
17,Morozova Iuliia,1904,0,1,Lejeune Vincent,2054
18,Vanobbergh Gregory,2052,1,0,De Reymaeker Walter,1872
19,Meskens Stephan,1876,0,1,Aragones-Melhem Georgy,2026
20,Versyck Dominique,2015,1,0,De Block Fabio,1855
21,Marchal Laurent,1840,0,1,Roels Frederik,2010
22,De Block Yordi,1985,0.5,0.5,Parreira Luis Miguel,1833
23,Taleb Mohamad,0,0,1,Lot Diederik,1976
24,Harutyunyan Axel,1954,1,0,De Bosscher Peter,1802
25,Riquembourg Julien,1622,1,0,Flamee Dirk,1757
26,Vanduyfhuys Daria,1488,1,0,Satti Abdelkader,1772
27,Miulescu Gabriel,2007,0,1,Van De Wynkele Herman,2030
28,Van Steenwinckel Hugo,1573,0,1,Soubrier Aude,1991
29,Duringer Valentin,1830,0,1,El Ayoubi Said,1574
30,Guerit Justin,1564,1,0,Pletinckx Eddy,1827
31,Van De Velde Filip,1802,1,0,Snyers Pieter,1572
32,Terryn Ezra,1800,0,1,De True Kwinten,1552
33,Licandro Federico,1522,0,1,Kuijpers Domien,1800
34,Vennekens Camiel,1786,1,0,Fivez Stev,1518
35,De True Toon,1767,1,0,Caudron Meindert,1498
36,Barbier Astrid,1753,1,0,Huysman Robert,1458
37,Elinckx Michel,1501,0,1,Silvain Thierry,1744
38,Cornelis Eric,1733,0,1,Cirlig Carmen Cristina,0
39,Vanduyfhuys Igor,1403,1,0,Drossart Jonathan,1732
40,Sohet Cedric,1714,1,0,Bultijnck Kristoff,0
41,Van Haesendonck Robbe,0,0,1,Wlogalski Olivier,1668
42,Escribano Illan Juan Carlos,0,1,0,Bertrand Stijn,1634
43,Lesschaeve Seppe,0,0,1,Degraeve Ruben,1614
44,Akuatse Angel Kaleb,1585,1,0,Laureys Mats,0
45,Gulieva Karina,1412,0,1,Hamers Niels,0
46,Skowron Jean-Pol,1648,1,0,Anne Philippe,1409
47,Lerinckx Niels,0,1,0,Marchal Anais,1401
48,Souweine Edwige,1022,1,0,Huyghe Felix,0
49,Beckers Stijn,0,0,1,D'Hoedt Bob,0
50,Lerinckx Sander,0,0,1,Smeyers Johan,0
51,Bouaouina Ilias,0,1,0,Vanrossum Matthias,0
