bord,wit,welo,wres,zres,zwart,zelo
1,Lenaerts Lennert,2303,0,1,Hautot Stephane,2328
2,Wantiez Fabrice,2260,0.5,0.5,Dgebuadze Alexandre,2526
3,Claesen Pieter,2318,0,1,Cools Gorik,2252
4,Alienkin Aleksander,2358,1,0,Versyck Dominique,2015
5,Roos Adrian,2289,1,0,De Block Yordi,1985
6,Huynh Laurent,1890,0,1,Boucquet Emile,2157
7,Aragones-Melhem Georgy,2026,1,0,Harutyunyan Axel,1954
8,Goormachtigh Johan,2143,1,0,Miulescu Gabriel,2007
9,Van De Wynkele Herman,2030,1,0,Roos David,2079
10,Dardha Arben,2218,0,1,Lot Diederik,1976
11,Vanmuylder Dany,1934,0,1,Vanderwaeren Serge,2189
12,Atanasiu Nicolae,1926,0,1,De Villers Mourad,2123
13,Mayr Thomas,2110,1,0,Vanobbergh Gregory,2052
14,Verrijken Geert,1908,0,1,Spanoghe Ivan,2090
15,De Reymaeker Walter,1872,0,1,Depauw Christian,2078
16,Saligo Luc,2067,0,1,Escribano Illan Juan Carlos,0
17,Sohet Cedric,1714,0,1,Devolder Dieter,2058
18,Kurpnieks Vairis,2047,1,0,De Block Fabio,1855
19,Parreira Luis Miguel,1833,0,1,Dardha Daniel,1932
20,Morozova Iuliia,1904,0.5,0.5,Vanduyfhuys Daria,1488
21,Lejeune Vincent,2054,0.5,0.5,Duringer Valentin,1830
22,Kuijpers Domien,1800,0,1,Roels Frederik,2010
23,Verstraeten Jan,1953,1,0,Terryn Ezra,1800
24,Solsky Itzhak,1942,1,0,Silvain Thierry,1744
25,De Bosscher Peter,1802,0,1,Vanden Bussche Steven,1942
26,Minet Julien,1919,1,0,De True Toon,1767
27,Van Haelst Raymond,1911,0,1,El Ayoubi Said,1574
28,Degraeve Ruben,1614,1,0,Pleysier Simon,1871
29,Flamee Dirk,1757,1,0,Marchal Laurent,1840
30,Vanduyfhuys Igor,1403,0,1,Soubrier Aude,1991
31,Riquembourg Julien,1622,0,1,Meskens Stephan,1876
32,De True Kwinten,1552,0,1,Satti Abdelkader,1772
33,Barbier Astrid,1753,1,0,Van Steenwinckel Hugo,1573
34,Caudron Meindert,1498,1,0,Cornelis Eric,1733
35,Drossart Jonathan,1732,0,1,Taleb Mohamad,0
36,Pletinckx Eddy,1827,0,1,Snyers Pieter,1572
37,Van Haesendonck Robbe,0,0,1,Vennekens Camiel,1786
38,Wlogalski Olivier,1668,1,0,Licandro Federico,1522
39,Bertrand Stijn,1634,1,0,Guerit Justin,1564
40,Bultijnck Kristoff,0,0,1,Akuatse Angel Kaleb,1585
41,Skowron Jean-Pol,1648,1,0,Elinckx Michel,1501
42,Marchal Anais,1401,0,1,Van De Velde Filip,1802
43,Fivez Stev,1518,0,1,Gulieva Karina,1412
44,Anne Philippe,1409,1,0,Hamers Niels,0
45,Smeyers Johan,0,1,0,Souweine Edwige,1022
46,Cirlig Carmen Cristina,0,1,0,Lerinckx Niels,0
47,D'Hoedt Bob,0,1,0,Lesschaeve Seppe,0
48,Lerinckx Sander,0,0,1,Beckers Stijn,0
49,Bouaouina Ilias,0,0,1,Huysman Robert,1458
50,Vanrossum Matthias,0,1,0,Bye,0
