bord,wit,welo,wres,zres,zwart,zelo
1,Hautot Stephane,2342,0.5,0.5,Dgebuadze Alexandre,2470
2,Dardha Daniel,2321,0,1,Cekro Ekrem,2393
3,Geirnaert Steven,2360,1,0,Roos Adrian,2285
4,Docx Stefan,2305,1,0,Lenaerts Lennert,2314
5,Zelbel Patrick,2443,1,0,Hamblok Roel,2270
6,Beukema Stefan,2263,1,0,Roels Frederik,2043
7,Clevers Egbert,2254,1,0,Ronse Ivan,2025
8,Van Cappellen Jonas,2191,1,0,Spanoghe Ivan,2013
9,Ismail Tamer,2038,0.5,0.5,Dardha Arben,2168
10,Clement Frederic,2164,1,0,Godde Matthias,1978
11,Miulescu Gabriel,1964,0,1,De Strycker Nathan,2120
12,Van Den Bosch Arno,2099,0,1,Macai Ioan,1902
13,Grigoriou Emmanouil,1922,1,0,Vanderwaeren Serge,2091
14,Defromont Benjamin,2083,0,1,Minet Julien,1898
15,Denys Frank,1876,0,1,Roos David,2076
16,Huynh Laurent,2075,1,0,Verheyen Olivier,1749
17,Soubirou Oriane,2068,1,0,Ojuri Paul,1636
18,Beukema Constantijn,1557,0,1,Vanhuyse Nele,2062
19,Depauw Christian,2065,1,0,Butzen Robin,1834
20,De Villers Mourad,2060,1,0,De Blende Nando,1842
21,Verbist Julien,2049,1,0,Cornelis Eric,1681
22,Ulburghs Piet,1696,0,1,Uhoda Philippe,2037
23,Bertrand Stijn,1818,0,1,Lot Diederik,1988
24,Dauw Sterre,1984,1,0,Claudon Andreas,1804
25,Cools Gorik,2276,1,0,Parreira Luis Miguel,1846
26,Decrop Benjamin,2199,1,0,Jacobs Michiel,1824
27,Dgebuadze Marie,1811,0.5,0.5,Van Hoofstat Tom,2195
28,Roofthoofd Marcel,2119,1,0,Boodts Jeroen,1771
29,Van de Velde Filip,1769,0,1,Anciaux Marc,2103
30,Callier Christophe,2033,1,0,Desinte David,1761
31,Silvain Thierry,1728,0,1,Van De Wynkele Herman,2030
32,Versyck Dominique,2026,1,0,Maerevoet Tim,1765
33,Guion Geoffrey,2014,1,0,Pepermans Jelle,1720
34,Drossart Jonathan,1709,1,0,Harutyunyan Axel,1983
35,Baselmans Luuk,1943,0,1,Ouaki Mark,1719
36,Vervaet Bart,1700,1,0,Verstraeten Jan,1922
37,Verrijken Geert,1909,1,0,Heymans Berwout,1703
38,De Reymaeker Walter,1901,0,1,Vanlerberghe Eddy,1698
39,Dekker Marvin,1894,1,0,Cappan Pjotr,1464
40,Daum Philippe,1691,1,0,Van Bunderen Gert,1890
41,Abubakirov Khumid,1670,0,1,Kegels Kristof,1865
42,De Block Fabio,1861,0,1,Micciche Ruben,1445
43,Musabayeva Diana,1441,0,1,Bertram Johannes,1855
44,Celiktas Kaan,0,0,1,Draidi Ahmed,2057
45,De Block Yordi,1991,1,0,Vander Voort Patrick,1534
46,Korte Markus,1981,1,0,Van Campenhoudt Theo,1201
47,Celiktas Ayhan,0,0,1,Chopin Christian,1679
48,Van De Craen Piet,1602,0.5,0.5,Gulieva Karina,1429
49,De Bosscher Peter,1781,1,0,Abidin Aysajan,1432
50,Vennekens Camiel,1746,1,0,Roccazzella Salvatore,1420
51,Anciaux Adrien,1431,1,0,Pascutto Gian-Carlo,1633
52,Lerinckx Niels,1345,0,1,Heldenbergh Nils,1631
53,Palmans Niels,1545,0,1,Musabayev Maxim,1300
54,Oloeriu Calin,1302,0,1,Bultijnck Kristoff,1539
55,Steynen Christophe,1293,0,1,Palazoski Elvir,1525
56,Lefebvre Willy,1523,1,0,Laureys Mats,1224
57,Souweine Edwige,1028,0,1,Deschuyteneer Lucien,1520
58,Dutre Wonder,1227,1,0,Nica Radu-Catalin,1453
59,Huysman Robert,1447,1,0,Lerinckx Sander,0
60,Remue Jan,0,1,0,Malfliet Alexander,1445
61,Pauwels Fons,0,0,1,Gomez Daniel,1442
62,Govoreanu Matei,1058,1,0,Pauwels Fien,0
63,Van Der Voorde Sonja,1425,0,1,Vandevelde Jannes,0
64,Vanrossum Mathias,0,1,0,Entwistle Alan,1354
65,Lehaire Philippe,1148,1,0,Alves Renato,0
66,Aishajiang Ehsan,0,1,0,Oloeriu Cezar,0
