bord,wit,welo,wres,zres,zwart,zelo
1,Cekro Ekrem,2393,0,1,Geirnaert Steven,2360
2,Dgebuadze Alexandre,2470,0.5,0.5,Docx Stefan,2305
3,Roos Adrian,2285,1,0,Hautot Stephane,2342
4,Roos David,2076,0,1,Zelbel Patrick,2443
5,Soubirou Oriane,2068,0.5,0.5,Dardha Daniel,2321
6,Vanhuyse Nele,2062,0,1,Beukema Stefan,2263
7,Clevers Egbert,2254,1,0,Huynh Laurent,2075
8,Macai Ioan,1902,1,0,Van Cappellen Jonas,2191
9,Minet Julien,1898,0,1,Clement Frederic,2164
10,De Strycker Nathan,2120,0.5,0.5,Grigoriou Emmanouil,1922
11,Lenaerts Lennert,2314,1,0,Verbist Julien,2049
12,Hamblok Roel,2270,1,0,Ismail Tamer,2038
13,Dardha Arben,2168,0,1,Dauw Sterre,1984
14,Uhoda Philippe,2037,1,0,Depauw Christian,2065
15,Lot Diederik,1988,1,0,De Villers Mourad,2060
16,Miulescu Gabriel,1964,0,1,Cools Gorik,2276
17,Verrijken Geert,1909,1,0,Decrop Benjamin,2199
18,Kegels Kristof,1865,0,1,Roofthoofd Marcel,2119
19,Anciaux Marc,2103,0,1,Denys Frank,1876
20,Bertram Johannes,1855,0,1,Van Den Bosch Arno,2099
21,Vanderwaeren Serge,2091,1,0,Dekker Marvin,1894
22,Verheyen Olivier,1749,0,1,Defromont Benjamin,2083
23,Roels Frederik,2043,1,0,Drossart Jonathan,1709
24,Ouaki Mark,1719,1,0,Callier Christophe,2033
25,Van De Wynkele Herman,2030,1,0,Vervaet Bart,1700
26,Vanlerberghe Eddy,1698,0,1,Versyck Dominique,2026
27,Ronse Ivan,2025,1,0,Daum Philippe,1691
28,Ojuri Paul,1636,0,1,Guion Geoffrey,2014
29,Spanoghe Ivan,2013,1,0,Beukema Constantijn,1557
30,Godde Matthias,1978,1,0,Micciche Ruben,1445
31,Van Hoofstat Tom,2195,0,1,Bertrand Stijn,1818
32,Draidi Ahmed,2057,1,0,Dgebuadze Marie,1811
33,Claudon Andreas,1804,0,1,De Block Yordi,1991
34,Chopin Christian,1679,0.5,0.5,Korte Markus,1981
35,De Blende Nando,1842,0,1,Ulburghs Piet,1696
36,Butzen Robin,1834,1,0,Cornelis Eric,1681
37,Harutyunyan Axel,1983,1,0,Heymans Berwout,1703
38,Heldenbergh Nils,1631,0.5,0.5,Baselmans Luuk,1943
39,Verstraeten Jan,1922,1,0,Abubakirov Khumid,1670
40,Bultijnck Kristoff,1539,0,1,De Reymaeker Walter,1901
41,Van Bunderen Gert,1890,1,0,Van De Craen Piet,1602
42,Deschuyteneer Lucien,1520,0,1,De Block Fabio,1861
43,Parreira Luis Miguel,1846,0,1,Lefebvre Willy,1523
44,Jacobs Michiel,1824,1,0,Cappan Pjotr,1464
45,Palazoski Elvir,1525,0,1,De Bosscher Peter,1781
46,Boodts Jeroen,1771,1,0,Musabayeva Diana,1441
47,Gulieva Karina,1429,1,0,Van de Velde Filip,1769
48,Maerevoet Tim,1765,1,0,Huysman Robert,1447
49,Desinte David,1761,1,0,Anciaux Adrien,1431
50,Gomez Daniel,1442,0,1,Vennekens Camiel,1746
51,Musabayev Maxim,1300,1,0,Silvain Thierry,1728
52,Pepermans Jelle,1720,1,0,Remue Jan,0
53,Dutre Wonder,1227,1,0,Vander Voort Patrick,1534
54,Van Campenhoudt Theo,1201,1,0,Celiktas Ayhan,0
55,Govoreanu Matei,1058,1,0,Celiktas Kaan,0
56,Laureys Mats,1224,0,1,Pascutto Gian-Carlo,1633
57,Vandevelde Jannes,0,0,1,Palmans Niels,1545
58,Nica Radu-Catalin,1453,1,0,Souweine Edwige,1028
59,Malfliet Alexander,1445,1,0,Lehaire Philippe,1148
60,Abidin Aysajan,1432,1,0,Aishajiang Ehsan,0
61,Roccazzella Salvatore,1420,0,1,Pauwels Fons,0
62,Vanrossum Mathias,0,0,1,Lerinckx Niels,1345
63,Lerinckx Sander,0,0,1,Oloeriu Calin,1302
64,Pauwels Fien,0,0,1,Steynen Christophe,1293
65,Oloeriu Cezar,0,0,1,Van Der Voorde Sonja,1425
66,Entwistle Alan,1354,0,1,Alves Renato,0
