bord,wit,welo,wres,zres,zwart,zelo
1,Roofthoofd Marcel,2119,0,1,Dgebuadze Alexandre,2470
2,Van Den Bosch Arno,2099,0,1,Cekro Ekrem,2393
3,Geirnaert Steven,2360,1,0,De Strycker Nathan,2120
4,Defromont Benjamin,2083,0,1,Hautot Stephane,2342
5,Dardha Daniel,2321,1,0,Anciaux Marc,2103
6,Docx Stefan,2305,0.5,0.5,Vanderwaeren Serge,2091
7,Huynh Laurent,2075,0,1,Roos Adrian,2285
8,De Villers Mourad,2060,0.5,0.5,Hamblok Roel,2270
9,Beukema Stefan,2263,0,1,Roos David,2076
10,Verbist Julien,2049,0,1,Clevers Egbert,2254
11,Decrop Benjamin,2199,0,1,Soubirou Oriane,2068
12,Van Cappellen Jonas,2191,1,0,Vanhuyse Nele,2062
13,Musabayeva Diana,1441,0,1,Dardha Arben,2168
14,Clement Frederic,2164,1,0,Lot Diederik,1988
15,Zelbel Patrick,2443,1,0,De Blende Nando,1842
16,De Block Yordi,1991,0,1,Lenaerts Lennert,2314
17,Depauw Christian,2065,1,0,Gulieva Karina,1429
18,Dauw Sterre,1984,1,0,Draidi Ahmed,2057
19,Bertrand Stijn,1818,0,1,Uhoda Philippe,2037
20,Cools Gorik,2276,0,1,Claudon Andreas,1804
21,Dgebuadze Marie,1811,0,1,Roels Frederik,2043
22,Ismail Tamer,2038,1,0,Boodts Jeroen,1771
23,Callier Christophe,2033,0,1,Maerevoet Tim,1765
24,De Bosscher Peter,1781,0,1,Van De Wynkele Herman,2030
25,Versyck Dominique,2026,0,1,Verheyen Olivier,1749
26,Desinte David,1761,0,1,Ronse Ivan,2025
27,Vennekens Camiel,1746,0,1,Guion Geoffrey,2014
28,Silvain Thierry,1728,0,1,Spanoghe Ivan,2013
29,Pepermans Jelle,1720,0,1,Harutyunyan Axel,1983
30,Korte Markus,1981,0,1,Ouaki Mark,1719
31,Drossart Jonathan,1709,0,1,Godde Matthias,1978
32,Miulescu Gabriel,1964,1,0,Heymans Berwout,1703
33,Baselmans Luuk,1943,1,0,Vervaet Bart,1700
34,Grigoriou Emmanouil,1922,1,0,Vanlerberghe Eddy,1698
35,Daum Philippe,1691,0,1,Verstraeten Jan,1922
36,Verrijken Geert,1909,1,0,Chopin Christian,1679
37,Abubakirov Khumid,1670,0,1,Macai Ioan,1902
38,De Reymaeker Walter,1901,0,1,Ojuri Paul,1636
39,Pascutto Gian-Carlo,1633,0,1,Minet Julien,1898
40,Dekker Marvin,1894,1,0,Heldenbergh Nils,1631
41,Beukema Constantijn,1557,1,0,Van Bunderen Gert,1890
42,Denys Frank,1876,1,0,Bultijnck Kristoff,1539
43,Palmans Niels,1545,0,1,Kegels Kristof,1865
44,De Block Fabio,1861,1,0,Palazoski Elvir,1525
45,Lefebvre Willy,1523,0,1,Bertram Johannes,1855
46,Parreira Luis Miguel,1846,1,0,Pauwels Fons,0
47,Butzen Robin,1834,1,0,Gomez Daniel,1442
48,Remue Jan,0,0,1,Jacobs Michiel,1824
49,Ulburghs Piet,1696,1,0,Govoreanu Matei,1058
50,Cornelis Eric,1681,1,0,Celiktas Ayhan,0
51,Van De Craen Piet,1602,1,0,Van Campenhoudt Theo,1201
52,Oloeriu Calin,1302,0,1,Van Hoofstat Tom,2195
53,Van De Velde Filip,1769,1,0,Musabayev Maxim,1300
54,Vander Voort Patrick,1534,1,0,Steynen Christophe,1293
55,Deschuyteneer Lucien,1520,1,0,Dutre Wonder,1227
56,Cappan Pjotr,1464,1,0,Laureys Mats,1224
57,Lehaire Philippe,1148,0,1,Nica Radu-Catalin,1453
58,Huysman Robert,1447,1,0,Souweine Edwige,1028
59,Vandevelde Jannes,0,0,1,Malfliet Alexander,1445
60,Micciche Ruben,1445,1,0,Oloeriu Cezar,0
61,Abidin Aysajan,1432,1,0,Vanrossum Mathias,0
62,Anciaux Adrien,1431,1,0,Alves Renato,0
63,Van Der Voorde Sonja,1425,0,1,Lerinckx Sander,0
64,Aishajiang Ehsan,0,0,1,Roccazzella Salvatore,1420
65,Entwistle Alan,1354,0,1,Pauwels Fien,0
66,Celiktas Kaan,0,1,0,Lerinckx Niels,1345
