bord,wit,welo,wres,zres,zwart,zelo
1,Lesueur Gabriel,2195,½,½,Hovhannisyan Mher,2422
2,Dauw Sterre,2281,0,1,Lenaerts Lennert,2334
3,Maerevoet Sim,2317,0,1,Alienkin Aleksander,2325
4,Goossens Hanne,2153,0,1,Defromont Benjamin,2271
5,Ismail Tamer,2108,0,1,Tuerlinckx Ben,2071
6,Van Volsem Merlijn,2179,1,0,Musabayeva Diana,1931
7,Cools Gorik,2159,0,1,Victor Julian,2056
8,Roofthoofd Marcel,2149,½,½,Boodts Jeroen,1757
9,Dreelinck Jacob,1935,½,½,Arcelin Gaël,2120
10,Van Coppenolle Kurt,2067,½,½,Kersemans Aeneas,1557
11,Van Hoofstat Tom,1988,0,1,Sochacki Wojtek,2280
12,Docx Stefan,2345,0,1,Dreelinck Adriaan,2083
13,Stinis Steven,2074,1,0,De Blende Nando,1780
14,Rivet Cyrille,2045,½,½,Van Coppenolle Lander,1872
15,Barbier Wiebke,2004,1,0,Denys Frank,1856
16,Roelandt Andreas,1870,1,0,Vanderwaeren Serge,1987
17,De Baets Keano,1799,0,1,De Vogelaere Robin,1944
18,De Baets Branko,1706,0,1,Roels Frederik,1940
19,Moreels Yves,1940,1,0,Van Wijnendaele Jovanni,1688
20,Sazonov Fedor,1685,1,0,Kegels Kristof,1932
21,Harutyunyan Axel,1911,1,0,Cappelle Gert-Jan,1644
22,Maerevoet Tim,1878,0,1,Burssens Maya,1319
23,Wouters Maarten,1719,0,1,Lot Diederik,2042
24,Versyck Dominique,1980,1,0,Soubirou Oriane,1959
25,Beukenhorst Edo,1973,1,0,De Meyere Dirk,1457
26,Chaillou Thibault,1815,1,0,De Witte Stein,1758
27,Van Roy Arno,1491,0,1,Vereeken Franky,1938
28,Vanrossum Mathias,1129,½,½,Vandenhole Kobe,1924
29,Ghisa Robert,1265,0,1,Verrijken Geert,1906
30,Taleb Mohamad,1799,0,1,Ghisa Alexander,1548
31,Bruggeman Jordi,1595,1,0,De Ceukelaire Gert,1757
32,Schepens Aron,1493,0,1,Van Bunderen Gert,1728
33,Pauwels Fons,1690,1,0,Vander Voort Patrick,1467
34,Veldeman Sieben,1677,1,0,De Meyer Nicolas,1435
35,De Bosscher Peter,1650,1,0,Laureys Mats,1222
36,Bultijnck Kristoff,1485,0,1,Pepermans Jelle,1762
37,Musabayev Maxim,1528,1,0,Verbeke Basiel,1413
38,Van Der Voorde Sonja,1346,0,1,Cornelis Eric,1608
39,Van De Putte Ben,1777,1,0,Van Impe Tristan,0
40,Moser Rafael,1464,0,1,Dekoster Pascal,1711
41,De Clerck Lucas,1606,½,½,Huysman Robert,1345
42,Sohet Cédric,1597,1,0,Lot Nathan,0
43,Gilson Pacôme,1303,1,0,Sissau Arno,1475
44,Ooms Lennert,1215,0,1,Toelen Daan,0
45,Al-Kili Adil Sofia,1012,1,0,Blykers Jan,1210
46,Al-Kili Adil Ines,1096,0,1,Geraerts Jules,0
