bord,wit,welo,wres,zres,zwart,zelo
1,Hovhannisyan Mher,2422,1,0,Van De Putte Ben,1777
2,Pepermans Jelle,1762,0,1,Docx Stefan,2345
3,Lenaerts Lennert,2334,1,0,De Witte Stein,1758
4,De Ceukelaire Gert,1757,0,1,Alienkin Aleksander,2325
5,Maerevoet Sim,2317,1,0,Boodts Jeroen,1757
6,Van Bunderen Gert,1728,0,1,Dauw Sterre,2281
7,Sochacki Wojtek,2280,1,0,Wouters Maarten,1719
8,Dekoster Pascal,1711,0,1,Defromont Benjamin,2271
9,Lesueur Gabriel,2195,1,0,De Baets Branko,1706
10,Pauwels Fons,1690,0,1,Van Volsem Merlijn,2179
11,Deleyn Gunter,2162,1,0,Van Wijnendaele Jovanni,1688
12,Sazonov Fedor,1685,1,0,Cools Gorik,2159
13,Goossens Hanne,2153,1,0,Veldeman Sieben,1677
14,De Bosscher Peter,1650,0,1,Roofthoofd Marcel,2149
15,Arcelin Gaël,2120,1,0,Cappelle Gert-Jan,1644
16,Cornelis Eric,1608,0,1,Ismail Tamer,2108
17,Dreelinck Adriaan,2083,1,0,De Clerck Lucas,1606
18,Degraeve Ruben,1597,0,1,Stinis Steven,2074
19,Tuerlinckx Ben,2071,1,0,Sohet Cédric,1597
20,Bruggeman Jordi,1595,0,1,Van Coppenolle Kurt,2067
21,Victor Julian,2056,1,0,Kersemans Aeneas,1557
22,Ghisa Alexander,1548,0,1,Rivet Cyrille,2045
23,Lot Diederik,2042,1,0,Musabayev Maxim,1528
24,Schepens Aron,1493,0,1,Barbier Wiebke,2004
25,Van Hoofstat Tom,1988,1,0,Van Roy Arno,1491
26,Bultijnck Kristoff,1485,0,1,Vanderwaeren Serge,1987
27,Versyck Dominique,1980,1,0,Sissau Arno,1475
28,Vander Voort Patrick,1467,0,1,Beukenhorst Edo,1973
29,Soubirou Oriane,1959,1,0,Moser Rafael,1464
30,De Meyere Dirk,1457,0,1,De Vogelaere Robin,1944
31,Roels Frederik,1940,0,1,De Meyer Nicolas,1435
32,Verbeke Basiel,1413,½,½,Moreels Yves,1940
33,Vereeken Franky,1938,1,0,Van Der Voorde Sonja,1346
34,Huysman Robert,1345,0,1,Dreelinck Jacob,1935
35,Kegels Kristof,1932,1,0,Burssens Maya,1319
36,Gilson Pacôme,1303,0,1,Musabayeva Diana,1931
37,Vandenhole Kobe,1924,1,0,Ghisa Robert,1265
38,Laureys Mats,1222,0,1,Harutyunyan Axel,1911
39,Verrijken Geert,1906,1,0,Ooms Lennert,1215
40,Blykers Jan,1210,0,1,Maerevoet Tim,1878
41,Van Coppenolle Lander,1872,1,0,Vanrossum Mathias,1129
42,Al-Kili Adil Ines,1096,0,1,Roelandt Andreas,1870
43,Denys Frank,1856,1,0,Al-Kili Adil Sofia,1012
44,Van Impe Tristan,0,0,1,Chaillou Thibault,1815
45,Taleb Mohamad,1799,1,0,Lot Nathan,0
46,Toelen Daan,0,0,1,De Baets Keano,1799
47,De Blende Nando,1780,1,0,Geraerts Jules,0
