bord,wit,welo,wres,zres,zwart,zelo
1,Hovhannisyan Mher,2422,1,0,Defromont Benjamin,2271
2,Lenaerts Lennert,2334,1,0,Lesueur Gabriel,2195
3,Alienkin Aleksander,2325,½,½,Van Volsem Merlijn,2179
4,Victor Julian,2056,0,1,Dauw Sterre,2281
5,Tuerlinckx Ben,2071,0,1,Goossens Hanne,2153
6,Dreelinck Adriaan,2083,½,½,Maerevoet Sim,2317
7,Sochacki Wojtek,2280,1,0,Boodts Jeroen,1757
8,Ismail Tamer,2108,1,0,Roofthoofd Marcel,2149
9,Arcelin Gaël,2120,1,0,Kersemans Aeneas,1557
10,De Vogelaere Robin,1944,0,1,Dreelinck Jacob,1935
11,Musabayeva Diana,1931,½,½,Cools Gorik,2159
12,Burssens Maya,1319,0,1,Stinis Steven,2074
13,Moreels Yves,1940,1,0,Van Coppenolle Kurt,2067
14,Harutyunyan Axel,1911,0,1,Barbier Wiebke,2004
15,Roels Frederik,1940,1,0,Roelandt Andreas,1870
16,Lot Diederik,2042,1,0,Sazonov Fedor,1685
17,Versyck Dominique,1980,0,1,Rivet Cyrille,2045
18,Van Coppenolle Lander,1872,0,1,Van Hoofstat Tom,1988
19,Vanderwaeren Serge,1987,0,1,Beukenhorst Edo,1973
20,Van Bunderen Gert,1728,0,1,Docx Stefan,2345
21,Vereeken Franky,1938,0,1,De Baets Branko,1706
22,Kegels Kristof,1932,1,0,Pauwels Fons,1690
23,Verrijken Geert,1906,1,0,Veldeman Sieben,1677
24,Van Wijnendaele Jovanni,1688,0,1,Maerevoet Tim,1878
25,Denys Frank,1856,1,0,De Bosscher Peter,1650
26,Cappelle Gert-Jan,1644,0,1,Chaillou Thibault,1815
27,Ghisa Alexander,1548,0,1,De Baets Keano,1799
28,De Blende Nando,1780,1,0,Bruggeman Jordi,1595
29,Soubirou Oriane,1959,1,0,Wouters Maarten,1719
30,Vandenhole Kobe,1924,½,½,Musabayev Maxim,1528
31,Pepermans Jelle,1762,1,0,Vanrossum Mathias,1129
32,De Witte Stein,1758,1,0,De Meyere Dirk,1457
33,Vander Voort Patrick,1467,0,1,Taleb Mohamad,1799
34,Laureys Mats,1222,0,1,Van De Putte Ben,1777
35,De Ceukelaire Gert,1757,1,0,Schepens Aron,1493
36,Dekoster Pascal,1711,1,0,Van Roy Arno,1491
37,Cornelis Eric,1608,0,1,Gilson Pacôme,1303
38,De Meyer Nicolas,1435,1,0,Sohet Cédric,1597
39,Verbeke Basiel,1413,1,0,Ghisa Robert,1265
40,Van Der Voorde Sonja,1346,0,1,De Clerck Lucas,1606
41,Huysman Robert,1345,0,1,Bultijnck Kristoff,1485
42,Sissau Arno,1475,0,1,Toelen Daan,0
43,Lot Nathan,0,0,1,Moser Rafael,1464
44,Van Impe Tristan,0,0,1,Ooms Lennert,1215
45,Geraerts Jules,0,0,1,Blykers Jan,1210
46,Al-Kili Adil Sofia,1012,1,0,Al-Kili Adil Ines,1096
