bord,wit,welo,wres,zres,zwart,zelo
1,Munoz Miguel,2611,1,0,Hautot Stephane,2352
2,Decoster Frederic,2294,0.5,0.5,Dardha Daniel,2472
3,Dgebuadze Alexandre,2466,0.5,0.5,Lenaerts Lennert,2298
4,Cekro Ekrem,2371,1,0,Sukander Irene,2271
5,Hamblok Roel,2224,1,0,Huynh Laurent,2194
6,Lot Diederik,1946,0,1,Alienkin Aleksander,2407
7,Roos Adrian,2302,0.5,0.5,Baselmans Sam,2076
8,Moreels Yves,2067,0,1,Grochal Joey,2268
9,Devolder Dieter,2049,0.5,0.5,Cools Gorik,2228
10,Iolis Oleg,2043,1,0,Fayard Alain,2223
11,Dardha Arben,2201,1,0,Maddens Martijn,2067
12,Decrop Benjamin,2173,1,0,Draidi Ahmed,1974
13,Fischer Julie,2029,0,1,De Strycker Nathan,2172
14,Lacroix Bruno,2143,0,1,Vanhuyse Nele,2048
15,Hoffmann Max,2133,1,0,Macai Ioan,1960
16,Versyck Dominique,1998,0,1,Clark-Foulquier Stephen,2123
17,Harutyunyan Axel,1990,0.5,0.5,Soubirou Oriane,2119
18,Vanderwaeren Serge,2115,0,1,Moerman Thomas,1943
19,Baselmans Luuk,1969,1,0,Van Kessel Wessel,2097
20,Depauw Christian,2090,1,0,Dutre Wonder,1293
21,Miulescu Gabriel,1905,0,1,De Villers Mourad,2086
22,Anciaux Adrien,1523,1,0,Van Dijck Bjarne,2083
23,Dauw Sterre,2076,1,0,Ouaki Mark,1855
24,Van Wijnendaele Jovanni,1671,0,1,Van Vliet Dennis,2135
25,Barbier Wim,2084,0,1,Spaens Kjell,1990
26,Aglave Arnaud,2072,0,1,Faybish Nimrod,1984
27,Romero Reinaldo Herrera,1897,0,1,Roofthoofd Marcel,2062
28,Kegels Kristof,1858,0,1,Roos David,2029
29,Van Hoofstat Tom,2119,1,0,Cornil Etienne,1835
30,Lane Samuel,2041,1,0,Van De Velde Filip,1753
31,Verrijken Geert,1940,0,1,Boshra Abanoub,1748
32,Van De Putte Ben,1743,0,1,Korte Markus,1933
33,Minet Julien,1929,1,0,Mabille Natacha,1731
34,Van Puyvelde Stijn,1727,0,1,Poelman Geoffrey,1916
35,Drossart Jonathan,1719,1,0,Dekker Marvin,1893
36,Vasile-Bonciog Cristian,1889,1,0,Aguilar Luciano,1701
37,Dreelinck Adriaan,1711,0.5,0.5,Verheyen Olivier,1887
38,Vintioen Ben,1885,0.5,0.5,De Baets Keano,1697
39,Vos Rik,1850,1,0,Abidin Aysajan,1684
40,Silvain Thierry,1709,1,0,De Jongh Saul,1849
41,Wlogalski Olivier,1846,1,0,Bachir John,1684
42,Polin Giulia,1812,1,0,Debeuckelaere Alexander,1678
43,Vervaet Bart,1693,0,1,Detienne Stephane,1807
44,Parreira Luis Miguel,1802,0,1,Kuy Yannick,1655
45,De Baets Branko,1634,1,0,Barbier Astrid,1792
46,Wouters Maarten,1782,0.5,0.5,Dreelinck Jacob,1638
47,Herrygers Rik,1629,1,0,Van Bunderen Gert,1781
48,Boodts Jeroen,1781,0,1,Yoro Samuel,1629
49,Degraeve Ruben,1612,1,0,Desinte David,1779
50,Beukema Constantijn,1598,0,1,De Reese Elias,1776
51,Bertram Johannes,1774,1,0,Van Droogenbroeck Mats,1226
52,D'Haenens Leon,1582,1,0,Aguilar Adriano,1771
53,Govoreanu Matei,1087,0,1,De Witte Stein,1756
54,Zamparo Sergio,2018,1,0,Raptis Filippos,0
55,Anciaux Marc,2000,1,0,Schoofs Maxim,1646
56,Bauwens Steven,1771,0,1,Taleb Mohamad,1427
57,Musabayeva Diana,1532,1,0,Bes Nikolaas,1710
58,Pouleyn Floris,1458,1,0,Cornelis Eric,1659
59,Vanden Broeck Jan,1977,0,1,Palstermans Koen,1489
60,Schrevens Simon,1471,0,1,Denys Frank,1897
61,Lerinckx Sander,1321,0,1,Willockx Ritsaart,1888
62,Laureys Mats,1218,0,1,De Reymaeker Walter,1864
63,De Bosscher Peter,1698,1,0,Haverbeke Jean-Pierre,1476
64,Abubakirov Khumid,1667,1,0,Boustany Georges,1466
65,Peers Wim,1660,1,0,Bontemps Cedric,1435
66,Camus Harold,1642,1,0,Smeyers Johan,1368
67,Pouliart Sander,1241,0,1,Skowron Jean-Pol,1622
68,Vandevelde Jannes,1130,0,1,De Vet Sylvin,1565
69,Beckers Stijn,0,0.5,0.5,Heyerick Anton,1548
70,Faybish Benjamin,1543,1,0,Lerinckx Niels,1349
71,Bultijnck Kristoff,1536,1,0,Teichner Roberto,1323
72,Huyghe Felix,0,0,1,Palmans Niels,1528
73,Micciche Ruben,1507,1,0ff ,Decraene Lotus,1113
74,Oostenbach Ronny,1503,1,0,Burssens Maya,1054
75,Swaidan Ali,1477,1,0,Silantev Ilia,1322
76,Fernandez Derlis,0,1,0,Aishajiang Ehsan,1213
77,De Meyere Dirk,1553,0,1,Hashemi Oshank,0
78,Van Der Voorde Sonja,1408,0,1,Huysman Robert,1408
79,Brys Yves,1323,0,1,Vanrossum Matthias,1103
80,Van Overstraeten Frank,1286,0,1,Souweine Edwige,1091
81,Moheeb Maha,0,1,0,Decraene Merlijn,1262
