bord,wit,welo,wres,zres,zwart,zelo
1,Lane Samuel,2041,0,1,Munoz Miguel,2611
2,Dardha Daniel,2472,1,0,Fischer Julie,2029
3,Zamparo Sergio,2018,0,1,Dgebuadze Alexandre,2466
4,Alienkin Aleksander,2407,1,0,Versyck Dominique,1998
5,Spaens Kjell,1990,0,1,Cekro Ekrem,2371
6,Hautot Stephane,2352,1,0,Harutyunyan Axel,1990
7,Faybish Nimrod,1984,0.5,0.5,Roos Adrian,2302
8,Lenaerts Lennert,2298,1,0,Vanden Broeck Jan,1977
9,Draidi Ahmed,1974,0,1,Decoster Frederic,2294
10,Sukander Irene,2271,1,0,Baselmans Luuk,1969
11,Macai Ioan,1960,0,1,Grochal Joey,2268
12,Cools Gorik,2228,0,1,Lot Diederik,1946
13,Korte Markus,1933,0,1,Hamblok Roel,2224
14,Fayard Alain,2223,1,0,Verrijken Geert,1940
15,Poelman Geoffrey,1916,0,1,Dardha Arben,2201
16,Huynh Laurent,2194,1,0,Minet Julien,1929
17,Denys Frank,1897,0,1,Decrop Benjamin,2173
18,De Strycker Nathan,2172,1,0,Miulescu Gabriel,1905
19,Dekker Marvin,1893,0,1,Lacroix Bruno,2143
20,Van Vliet Dennis,2135,0.5,0.5,Romero Reinaldo Herrera,1897
21,Willockx Ritsaart,1888,0,1,Hoffmann Max,2133
22,Clark-Foulquier Stephen,2123,1,0,Vintioen Ben,1885
23,Verheyen Olivier,1887,1,0,Van Hoofstat Tom,2119
24,Soubirou Oriane,2119,0.5,0.5,Kegels Kristof,1858
25,De Reymaeker Walter,1864,0,1,Vanderwaeren Serge,2115
26,Van Kessel Wessel,2097,1,0,Vos Rik,1850
27,Ouaki Mark,1855,0,1,Depauw Christian,2090
28,De Villers Mourad,2086,1,0,Wlogalski Olivier,1846
29,De Jongh Saul,1849,0.5,0.5,Barbier Wim,2084
30,Van Dijck Bjarne,2083,1,0,Polin Giulia,1812
31,Baselmans Sam,2076,1,0,Parreira Luis Miguel,1802
32,Cornil Etienne,1835,0,1,Dauw Sterre,2076
33,Barbier Astrid,1792,0,1,Aglave Arnaud,2072
34,Van Bunderen Gert,1781,0,1,Moreels Yves,2067
35,Maddens Martijn,2067,1,0,Wouters Maarten,1782
36,Roofthoofd Marcel,2062,1,0,Boodts Jeroen,1781
37,Desinte David,1779,0,1,Devolder Dieter,2049
38,Vanhuyse Nele,2048,1,0,Fernandez Derlis,0
39,Dutre Wonder,1293,1,0,Iolis Oleg,2043
40,Roos David,2029,0,1,Govoreanu Matei,1087
41,Anciaux Marc,2000,0,1,Musabayeva Diana,1532
42,Moerman Thomas,1943,0.5,0.5,Anciaux Adrien,1523
43,Detienne Stephane,1807,1,0,Taleb Mohamad,1427
44,Heyerick Anton,1548,0,1,Vasile-Bonciog Cristian,1889
45,De Reese Elias,1776,1,0,De Meyere Dirk,1553
46,Bultijnck Kristoff,1536,0,1,Bertram Johannes,1774
47,Palmans Niels,1528,0.5,0.5,Bauwens Steven,1771
48,Aguilar Adriano,1771,1,0,Faybish Benjamin,1543
49,De Witte Stein,1756,1,0,Swaidan Ali,1477
50,Oostenbach Ronny,1503,0,1,Van de Velde Filip,1753
51,Boshra Abanoub,1748,1,0,Micciche Ruben,1507
52,Haverbeke Jean-Pierre,1476,0,1,Van De Putte Ben,1743
53,Mabille Natacha,1731,1,0,Palstermans Koen,1489
54,Boustany Georges,1466,1,0,Van Puyvelde Stijn,1727
55,Drossart Jonathan,1719,1,0,Schrevens Simon,1471
56,Bontemps Cedric,1435,0,1,Dreelinck Adriaan,1711
57,Bes Nikolaas,1710,0.5,0.5,Pouleyn Floris,1458
58,Huysman Robert,1408,0,1,Silvain Thierry,1709
59,Aguilar Luciano,1701,1,0,Van Der Voorde Sonja,1408
60,Smeyers Johan,1368,0,1,De Bosscher Peter,1698
61,De Baets Keano,1697,1,0,Lerinckx Niels,1349
62,Teichner Roberto,1323,0,1,Vervaet Bart,1693
63,Silantev Ilia,1322,0,1,Bachir John,1684
64,Abidin Aysajan,1684,1,0,Brys Yves,1323
65,Debeuckelaere Alexander,1678,1,0,Lerinckx Sander,1321
66,Decraene Merlijn,1262,0,1,Van Wijnendaele Jovanni,1671
67,Abubakirov Khumid,1667,1,0,Van Overstraeten Frank,1286
68,Van Droogenbroeck Mats,1226,1,0,Peers Wim,1660
69,Cornelis Eric,1659,0.5,0.5,Pouliart Sander,1241
70,Aishajiang Ehsan,1213,0,1,Kuy Yannick,1655
71,Schoofs Maxim,1646,1,0,Laureys Mats,1218
72,Decraene Lotus,1113,1,0,Camus Harold,1642
73,Dreelinck Jacob,1638,1,0,Vandevelde Jannes,1130
74,Souweine Edwige,1091,0,1,De Baets Branko,1634
75,Burssens Maya,1054,0,1,Herrygers Rik,1629
76,Yoro Samuel,1629,1,0,Vanrossum Mathias,1103
77,Skowron Jean-Pol,1622,1,0,Beckers Stijn,0
78,Moheeb Maha,0,0,1,Degraeve Ruben,1612
79,Beukema Constantijn,1598,1,0,Huyghe Felix,0
80,Hashemi Oshank,0,0,1,D'Haenens Leon,1582
81,De Vet Sylvin,1565,0,1,Raptis Filippos,0
