bord,wit,welo,wres,zres,zwart,zelo
1,Grochal Joey,2268,0,1,Munoz Miguel,2611
2,Dardha Daniel,2472,1,0,Lacroix Bruno,2143
3,De Strycker Nathan,2172,0,1,Dgebuadze Alexandre,2466
4,Maddens Martijn,2067,0,1,Cekro Ekrem,2371
5,Hautot Stephane,2352,1,0,Hoffmann Max,2133
6,Lenaerts Lennert,2298,1,0,Depauw Christian,2090
7,Vanhuyse Nele,2048,0,1,Decoster Frederic,2294
8,Sukander Irene,2271,1,0,Devolder Dieter,2049
9,Soubirou Oriane,2119,0.5,0.5,Dardha Arben,2201
10,Huynh Laurent,2194,1,0,Barbier Wim,2084
11,Van Vliet Dennis,2135,0,1,Lot Diederik,1946
12,Roofthoofd Marcel,2062,0,1,Roos Adrian,2302
13,Alienkin Aleksander,2407,1,0,Vasile-Bonciog Cristian,1889
14,Cools Gorik,2228,1,0,Vintioen Ben,1885
15,Dekker Marvin,1893,0,1,Hamblok Roel,2224
16,Fayard Alain,2223,1,0,Wlogalski Olivier,1846
17,Verheyen Olivier,1887,0,1,Decrop Benjamin,2173
18,Clark-Foulquier Stephen,2123,1,0,Polin Giulia,1812
19,Ouaki Mark,1855,1,0,Van Hoofstat Tom,2119
20,De Jongh Saul,1849,0,1,Vanderwaeren Serge,2115
21,Van Kessel Wessel,2097,1,0,Parreira Luis Miguel,1802
22,De Villers Mourad,2086,1,0,Wouters Maarten,1782
23,Van Dijck Bjarne,2083,1,0,Boodts Jeroen,1781
24,Baselmans Sam,2076,1,0,Bertram Johannes,1774
25,Desinte David,1779,0,1,Dauw Sterre,2076
26,Cornil Etienne,1835,0.5,0.5,Aglave Arnaud,2072
27,Van de Velde Filip,1753,0,1,Moreels Yves,2067
28,Drossart Jonathan,1719,0,1,Iolis Oleg,2043
29,De Baets Keano,1697,0,1,Fischer Julie,2029
30,Bachir John,1684,0,1,Versyck Dominique,1998
31,Spaens Kjell,1990,0.5,0.5,Van Wijnendaele Jovanni,1671
32,Kuy Yannick,1655,0,1,Harutyunyan Axel,1990
33,Draidi Ahmed,1974,1,0,De Baets Branko,1634
34,Yoro Samuel,1629,0,1,Baselmans Luuk,1969
35,Macai Ioan,1960,1,0,D'Haenens Leon,1582
36,Moerman Thomas,1943,1,0,Govoreanu Matei,1087
37,Korte Markus,1933,0,1,Anciaux Adrien,1523
38,Dutre Wonder,1293,1,0,Minet Julien,1929
39,Raptis Filippos,0,0,1,Miulescu Gabriel,1905
40,Roos David,2029,1,0,Bauwens Steven,1771
41,Faybish Nimrod,1984,1,0,Musabayeva Diana,1532
42,Bes Nikolaas,1710,0,1,Romero Reinaldo Herrera,1897
43,Taleb Mohamad,1427,0,1,Kegels Kristof,1858
44,Lane Samuel,2041,1,0,Abubakirov Khumid,1667
45,Schoofs Maxim,1646,0.5,0.5,Zamparo Sergio,2018
46,Dreelinck Jacob,1638,1,0,Vanden Broeck Jan,1977
47,Skowron Jean-Pol,1622,0,1,Verrijken Geert,1940
48,Poelman Geoffrey,1916,1,0,Peers Wim,1660
49,Denys Frank,1897,0,1,Herrygers Rik,1629
50,Willockx Ritsaart,1888,0,1,Degraeve Ruben,1612
51,De Reymaeker Walter,1864,0,1,Beukema Constantijn,1598
52,De Vet Sylvin,1565,0,1,Vos Rik,1850
53,Detienne Stephane,1807,1,0,Faybish Benjamin,1543
54,Barbier Astrid,1792,1,0,Bultijnck Kristoff,1536
55,Van Bunderen Gert,1781,1,0,Swaidan Ali,1477
56,De Reese Elias,1776,1,0,Micciche Ruben,1507
57,Aguilar Adriano,1771,1,0,Oostenbach Ronny,1503
58,De Witte Stein,1756,1,0,Schrevens Simon,1471
59,Boshra Abanoub,1748,1,0,Lerinckx Sander,1321
60,Boustany Georges,1466,0,1,Van De Putte Ben,1743
61,Mabille Natacha,1731,1,0,Vandevelde Jannes,1130
62,Bontemps Cedric,1435,0,1,Van Puyvelde Stijn,1727
63,Teichner Roberto,1323,0,1,Dreelinck Adriaan,1711
64,Silantev Ilia,1322,0,1,Silvain Thierry,1709
65,Aguilar Luciano,1701,1,0,Beckers Stijn,0
66,Van Droogenbroeck Mats,1226,1,0,De Bosscher Peter,1698
67,Decraene Lotus,1113,0,1,Vervaet Bart,1693
68,Abidin Aysajan,1684,1,0,Huyghe Felix,0
69,Debeuckelaere Alexander,1678,1,0,Fernandez Derlis,0
70,Burssens Maya,1054,0,1,Anciaux Marc,2000
71,Cornelis Eric,1659,1,0,Van Der Voorde Sonja,1408
72,Palmans Niels,1528,0.5,0.5,Pouliart Sander,1241
73,Hashemi Oshank,0,0,1,Pouleyn Floris,1458
74,Decraene Merlijn,1262,0,1,Camus Harold,1642
75,Aishajiang Ehsan,1213,0.5,0.5,De Meyere Dirk,1553
76,Heyerick Anton,1548,1,0,Brys Yves,1323
77,Souweine Edwige,1091,0,1,Palstermans Koen,1489
78,Haverbeke Jean-Pierre,1476,1,0,Van Overstraeten Frank,1286
79,Huysman Robert,1408,0,1,Laureys Mats,1218
80,Smeyers Johan,1368,1,0,Vanrossum Mathias,1103
81,Lerinckx Niels,1349,1,0,Moheeb Maha,0
