bord,wit,welo,wres,zres,zwart,zelo
1,Munoz Miguel,2611,1,0,Dardha Daniel,2472
2,Decoster Frederic,2294,0,1,Cekro Ekrem,2371
3,Dardha Arben,2201,1,0,Alienkin Aleksander,2407
4,De Strycker Nathan,2172,0,1,Hautot Stephane,2352
5,De Villers Mourad,2086,0.5,0.5,Sukander Irene,2271
6,Grochal Joey,2268,0.5,0.5,Baselmans Luuk,1969
7,Dgebuadze Alexandre,2466,1,0,Van Vliet Dennis,2135
8,Roos Adrian,2302,0,1,Soubirou Oriane,2119
9,Hoffmann Max,2133,0,1,Lenaerts Lennert,2298
10,Baselmans Sam,2076,0,1,Cools Gorik,2228
11,Faybish Nimrod,1984,0.5,0.5,Huynh Laurent,2194
12,Decrop Benjamin,2173,1,0,Moerman Thomas,1943
13,Hamblok Roel,2224,0,1,Iolis Oleg,2043
14,Lane Samuel,2041,0,1,Fayard Alain,2223
15,Minet Julien,1929,1,0,Clark-Foulquier Stephen,2123
16,Van Hoofstat Tom,2119,0,1,Draidi Ahmed,1974
17,Versyck Dominique,1998,1,0,Van Kessel Wessel,2097
18,Depauw Christian,2090,1,0,Korte Markus,1933
19,Miulescu Gabriel,1905,0,1,Van Dijck Bjarne,2083
20,Dauw Sterre,2076,1,0,Poelman Geoffrey,1916
21,Moreels Yves,2067,0,1,Ouaki Mark,1855
22,Vasile-Bonciog Cristian,1889,0,1,Maddens Martijn,2067
23,Kuy Yannick,1655,0.5,0.5,Vanhuyse Nele,2048
24,Anciaux Adrien,1523,0,1,Aglave Arnaud,2072
25,Harutyunyan Axel,1990,0,1,Barbier Wim,2084
26,Roofthoofd Marcel,2062,1,0,Verheyen Olivier,1887
27,Devolder Dieter,2049,1,0,Boshra Abanoub,1748
28,Fischer Julie,2029,0,1,Cornil Etienne,1835
29,Lot Diederik,1946,0,1,Roos David,2029
30,Vintioen Ben,1885,1,0,Zamparo Sergio,2018
31,Kegels Kristof,1858,1,0,Anciaux Marc,2000
32,Spaens Kjell,1990,0,1,De Baets Keano,1697
33,Lacroix Bruno,2143,1,0,Aguilar Adriano,1771
34,Vanderwaeren Serge,2115,1,0,De Witte Stein,1756
35,Bertram Johannes,1774,0,1,Macai Ioan,1960
36,Verrijken Geert,1940,1,0,Mabille Natacha,1731
37,Van De Velde Filip,1753,0.5,0.5,Denys Frank,1897
38,Silvain Thierry,1709,0,1,Dekker Marvin,1893
39,Drossart Jonathan,1719,0,1,De Reymaeker Walter,1864
40,Vos Rik,1850,1,0,Aguilar Luciano,1701
41,De Bosscher Peter,1698,1,0,De Jongh Saul,1849
42,Vervaet Bart,1693,1,0,Wlogalski Olivier,1846
43,Polin Giulia,1812,0,1,Yoro Samuel,1629
44,Abubakirov Khumid,1667,0,1,Detienne Stephane,1807
45,Parreira Luis Miguel,1802,0,1,Degraeve Ruben,1612
46,Herrygers Rik,1629,0,1,Barbier Astrid,1792
47,De Baets Branko,1634,0,1,Van Bunderen Gert,1781
48,Boodts Jeroen,1781,1,0,Swaidan Ali,1477
49,D'Haenens Leon,1582,1,0,Desinte David,1779
50,Dutre Wonder,1293,0,1,De Reese Elias,1776
51,Romero Reinaldo Herrera,1897,1,0,Micciche Ruben,1507
52,Musabayeva Diana,1532,1,0,Wouters Maarten,1782
53,Bauwens Steven,1771,0,1,Schoofs Maxim,1646
54,Dreelinck Adriaan,1711,1,0,Cornelis Eric,1659
55,Taleb Mohamad,1427,1,0,Bes Nikolaas,1710
56,Van Wijnendaele Jovanni,1671,1,0,Dreelinck Jacob,1638
57,Vanden Broeck Jan,1977,1,0,Pouleyn Floris,1458
58,Schrevens Simon,1471,1,0,Willockx Ritsaart,1888
59,Van De Putte Ben,1743,1,0,Oostenbach Ronny,1503
60,Van Puyvelde Stijn,1727,1,0,Palstermans Koen,1489
61,Bachir John,1684,1,0,Haverbeke Jean-Pierre,1476
62,Govoreanu Matei,1087,1,0,Abidin Aysajan,1684
63,Debeuckelaere Alexander,1678,1,0,Boustany Georges,1466
64,Peers Wim,1660,1,0,Huysman Robert,1408
65,Camus Harold,1642,0,1,Bontemps Cedric,1435
66,Burssens Maya,1054,1,0,Skowron Jean-Pol,1622
67,Beukema Constantijn,1598,1,0,Smeyers Johan,1368
68,De Vet Sylvin,1565,0.5,0.5,Silantev Ilia,1322
69,Faybish Benjamin,1543,1,0,Van Droogenbroeck Mats,1226
70,Raptis Filippos,0,1,0,Bultijnck Kristoff,1536
71,Fernandez Derlis,0,0,1,Palmans Niels,1528
72,Moheeb Maha,0,1,0,Van Der Voorde Sonja,1408
73,Hashemi Oshank,0,1,0,Beckers Stijn,0
74,Heyerick Anton,1548,1,0,Lerinckx Niels,1349
75,Vandevelde Jannes,1130,1,0,Brys Yves,1323
76,Laureys Mats,1218,0,1,Teichner Roberto,1323
77,Lerinckx Sander,1321,0,1,Vanrossum Matthias,1103
78,Decraene Lotus,1113,0.5,0.5,Decraene Merlijn,1262
79,Pouliart Sander,1241,1,0,Souweine Edwige,1091
80,Huyghe Felix,0,0,1,Aishajiang Ehsan,1213
81,De Meyere Dirk,1553,1,0,Van Overstraeten Frank,1286
