bord,wit,welo,wres,zres,zwart,zelo
1,Cekro Ekrem,2371,0,1,Munoz Miguel,2611
2,Dardha Daniel,2472,1,0,Dgebuadze Alexandre,2466
3,Lenaerts Lennert,2298,0,1,Decoster Frederic,2294
4,Alienkin Aleksander,2407,1,0,Dauw Sterre,2076
5,Hautot Stephane,2352,1,0,Depauw Christian,2090
6,Sukander Irene,2271,1,0,Iolis Oleg,2043
7,Clark-Foulquier Stephen,2123,0,1,Grochal Joey,2268
8,De Villers Mourad,2086,1,0,Hamblok Roel,2224
9,Vanhuyse Nele,2048,0,1,Dardha Arben,2201
10,Baselmans Luuk,1969,1,0,Decrop Benjamin,2173
11,De Strycker Nathan,2172,1,0,Anciaux Adrien,1523
12,Moerman Thomas,1943,0.5,0.5,Hoffmann Max,2133
13,Roos David,2029,0,1,Roos Adrian,2302
14,Cools Gorik,2228,1,0,Roofthoofd Marcel,2062
15,Huynh Laurent,2194,1,0,Devolder Dieter,2049
16,Van Vliet Dennis,2135,1,0,Spaens Kjell,1990
17,Soubirou Oriane,2119,1,0,Lot Diederik,1946
18,Baselmans Sam,2076,1,0,Harutyunyan Axel,1990
19,Faybish Nimrod,1984,1,0,Lacroix Bruno,2143
20,Fayard Alain,2223,1,0,Vos Rik,1850
21,Wlogalski Olivier,1846,0,1,Van Hoofstat Tom,2119
22,Ouaki Mark,1855,1,0,Vanderwaeren Serge,2115
23,Van Kessel Wessel,2097,1,0,Polin Giulia,1812
24,Van Dijck Bjarne,2083,1,0,Bertram Johannes,1774
25,Detienne Stephane,1807,0,1,Moreels Yves,2067
26,Maddens Martijn,2067,1,0,Drossart Jonathan,1719
27,De Reese Elias,1776,0,1,Lane Samuel,2041
28,Boshra Abanoub,1748,0.5,0.5,Fischer Julie,2029
29,De Witte Stein,1756,0,1,Versyck Dominique,1998
30,Draidi Ahmed,1974,1,0,Silvain Thierry,1709
31,Macai Ioan,1960,0,1,Kuy Yannick,1655
32,Korte Markus,1933,1,0,De Baets Branko,1634
33,Yoro Samuel,1629,0,1,Minet Julien,1929
34,Poelman Geoffrey,1916,1,0,Herrygers Rik,1629
35,Dutre Wonder,1293,0,1,Miulescu Gabriel,1905
36,Degraeve Ruben,1612,0,1,Vasile-Bonciog Cristian,1889
37,Barbier Wim,2084,1,0,D'Haenens Leon,1582
38,Wouters Maarten,1782,0,1,Aglave Arnaud,2072
39,Zamparo Sergio,2018,1,0,Dreelinck Adriaan,1711
40,Anciaux Marc,2000,1,0,Van Wijnendaele Jovanni,1671
41,De Baets Keano,1697,1,0,Romero Reinaldo Herrera,1897
42,Verheyen Olivier,1887,1,0,Musabayeva Diana,1532
43,Pouleyn Floris,1458,0,1,Vintioen Ben,1885
44,Dreelinck Jacob,1638,0,1,Kegels Kristof,1858
45,Cornil Etienne,1835,1,0,Taleb Mohamad,1427
46,Abidin Aysajan,1684,0,1,Verrijken Geert,1940
47,Denys Frank,1897,1,0,Bachir John,1684
48,Dekker Marvin,1893,1,0,Debeuckelaere Alexander,1678
49,Willockx Ritsaart,1888,0,1,Abubakirov Khumid,1667
50,De Reymaeker Walter,1864,1,0,Peers Wim,1660
51,De Jongh Saul,1849,1,0,Camus Harold,1642
52,Skowron Jean-Pol,1622,0,1,Parreira Luis Miguel,1802
53,Barbier Astrid,1792,1,0,Beukema Constantijn,1598
54,Van Bunderen Gert,1781,1,0,De Vet Sylvin,1565
55,Bultijnck Kristoff,1536,0,1,Boodts Jeroen,1781
56,Desinte David,1779,1,0,Faybish Benjamin,1543
57,Aguilar Adriano,1771,1,0,Govoreanu Matei,1087
58,Palmans Niels,1528,0,1,Van De Velde Filip,1753
59,Swaidan Ali,1477,1,0,Van De Putte Ben,1743
60,Mabille Natacha,1731,1,0,Raptis Filippos,0
61,Micciche Ruben,1507,1,0,Van Puyvelde Stijn,1727
62,Aguilar Luciano,1701,1,0,Fernandez Derlis,0
63,Oostenbach Ronny,1503,0,1,De Bosscher Peter,1698
64,Palstermans Koen,1489,0,1,Vervaet Bart,1693
65,Van Droogenbroeck Mats,1226,0,1,Bauwens Steven,1771
66,Bes Nikolaas,1710,1,0,Heyerick Anton,1548
67,Cornelis Eric,1659,1,0,Beckers Stijn,0
68,Schoofs Maxim,1646,1,0,Hashemi Oshank,0
69,Vanrossum Matthias,1103,0,1,Vanden Broeck Jan,1977
70,Haverbeke Jean-Pierre,1476,1,0,Lerinckx Sander,1321
71,Souweine Edwige,1091,0,1,Schrevens Simon,1471
72,Boustany Georges,1466,1,0,Pouliart Sander,1241
73,Bontemps Cedric,1435,1,0,Laureys Mats,1218
74,Huysman Robert,1408,1,0,Vandevelde Jannes,1130
75,Smeyers Johan,1368,1,0,Decraene Lotus,1113
76,Lerinckx Niels,1349,0,1,Burssens Maya,1054
77,Teichner Roberto,1323,0,1,Moheeb Maha,0
78,Silantev Ilia,1322,1,0,Huyghe Felix,0
79,Aishajiang Ehsan,1213,0,1,Van Der Voorde Sonja,1408
80,Brys Yves,1323,1,0,De Meyere Dirk,1553
81,Decraene Merlijn,1262,1,0,Van Overstraeten Frank,1286
