bord,wit,welo,wres,zres,zwart,zelo
1,Munoz Miguel,2611,1,0,Clark-Foulquier Stephen,2123
2,Vanderwaeren Serge,2115,0,1,Dardha Daniel,2472
3,Dgebuadze Alexandre,2466,1,0,Van Kessel Wessel,2097
4,Depauw Christian,2090,1,0,Alienkin Aleksander,2407
5,Cekro Ekrem,2371,1,0,De Villers Mourad,2086
6,Dauw Sterre,2076,0,1,Hautot Stephane,2352
7,Aglave Arnaud,2072,0,1,Lenaerts Lennert,2298
8,Decoster Frederic,2294,1,0,Van Dijck Bjarne,2083
9,Moreels Yves,2067,0,1,Sukander Irene,2271
10,Grochal Joey,2268,1,0,Baselmans Sam,2076
11,Hamblok Roel,2224,0,1,Maddens Martijn,2067
12,Devolder Dieter,2049,1,0,Fayard Alain,2223
13,Dardha Arben,2201,0.5,0.5,Roofthoofd Marcel,2062
14,Lot Diederik,1946,0.5,0.5,Huynh Laurent,2194
15,Decrop Benjamin,2173,0,1,Vanhuyse Nele,2048
16,Govoreanu Matei,1087,0,1,De Strycker Nathan,2172
17,Lacroix Bruno,2143,1,0,Verheyen Olivier,1887
18,Hoffmann Max,2133,1,0,Dutre Wonder,1293
19,Roos Adrian,2302,0.5,0.5,De Jongh Saul,1849
20,Kegels Kristof,1858,0,1,Van Vliet Dennis,2135
21,Romero Reinaldo Herrera,1897,0,1,Soubirou Oriane,2119
22,Barbier Wim,2084,1,0,Faybish Nimrod,1984
23,Musabayeva Diana,1532,0,1,Cools Gorik,2228
24,Van Hoofstat Tom,2119,1,0,De Reese Elias,1776
25,Iolis Oleg,2043,1,0,Aguilar Adriano,1771
26,Bertram Johannes,1774,1,0,Lane Samuel,2041
27,Fischer Julie,2029,1,0,De Witte Stein,1756
28,Van de Velde Filip,1753,1,0,Zamparo Sergio,2018
29,Versyck Dominique,1998,1,0,Boshra Abanoub,1748
30,Van De Putte Ben,1743,0,1,Spaens Kjell,1990
31,Harutyunyan Axel,1990,1,0,Mabille Natacha,1731
32,Vanden Broeck Jan,1977,0,1,Drossart Jonathan,1719
33,Dreelinck Adriaan,1711,0,1,Draidi Ahmed,1974
34,Baselmans Luuk,1969,1,0,Aguilar Luciano,1701
35,Silvain Thierry,1709,0,1,Macai Ioan,1960
36,De Bosscher Peter,1698,0,1,Moerman Thomas,1943
37,Verrijken Geert,1940,0,1,De Baets Keano,1697
38,Vervaet Bart,1693,0,1,Korte Markus,1933
39,Minet Julien,1929,1,0,Abidin Aysajan,1684
40,Bachir John,1684,1,0,Poelman Geoffrey,1916
41,Miulescu Gabriel,1905,1,0,Debeuckelaere Alexander,1678
42,Van Wijnendaele Jovanni,1671,1,0,Denys Frank,1897
43,Abubakirov Khumid,1667,0,1,Dekker Marvin,1893
44,Vasile-Bonciog Cristian,1889,1,0,Schoofs Maxim,1646
45,Kuy Yannick,1655,1,0,Willockx Ritsaart,1888
46,Vintioen Ben,1885,1,0,Dreelinck Jacob,1638
47,De Baets Branko,1634,1,0,De Reymaeker Walter,1864
48,Herrygers Rik,1629,0,1,Ouaki Mark,1855
49,Vos Rik,1850,0,1,Yoro Samuel,1629
50,Wlogalski Olivier,1846,1,0,Skowron Jean-Pol,1622
51,Degraeve Ruben,1612,0,1,Cornil Etienne,1835
52,Polin Giulia,1812,1,0,Beukema Constantijn,1598
53,D'Haenens Leon,1582,1,0,Detienne Stephane,1807
54,Parreira Luis Miguel,1802,1,0,Boustany Georges,1466
55,Anciaux Adrien,1523,1,0,Barbier Astrid,1792
56,Wouters Maarten,1782,1,0,Van Droogenbroeck Mats,1226
57,Raptis Filippos,0,1,0,Van Bunderen Gert,1781
58,Boodts Jeroen,1781,1,0,Decraene Lotus,1113
59,Fernandez Derlis,0,0,1,Desinte David,1779
60,Pouleyn Floris,1458,0,1,Roos David,2029
61,Taleb Mohamad,1427,1,0,Anciaux Marc,2000
62,Bauwens Steven,1771,1,0,Cornelis Eric,1659
63,Pouliart Sander,1241,0,1,Bes Nikolaas,1710
64,Van Puyvelde Stijn,1727,1,0,Palmans Niels,1528
65,Peers Wim,1660,1,0,Lerinckx Niels,1349
66,Camus Harold,1642,0,1,Teichner Roberto,1323
67,Brys Yves,1323,0,1,De Vet Sylvin,1565
68,De Meyere Dirk,1553,0,1,Silantev Ilia,1322
69,Lerinckx Sander,1321,1,0,Heyerick Anton,1548
70,Faybish Benjamin,1543,1,0,Decraene Merlijn,1262
71,Van Overstraeten Frank,1286,0,1,Bultijnck Kristoff,1536
72,Micciche Ruben,1507,1,0,Souweine Edwige,1091
73,Laureys Mats,1218,0,1,Oostenbach Ronny,1503
74,Palstermans Koen,1489,0,1,Burssens Maya,1054
75,Swaidan Ali,1477,1,0,Aishajiang Ehsan,1213
76,Vandevelde Jannes,1130,1,0,Haverbeke Jean-Pierre,1476
77,Schrevens Simon,1471,1,0,Moheeb Maha,0
78,Vanrossum Mathias,1103,0,1,Bontemps Cedric,1435
79,Beckers Stijn,0,1,0,Huysman Robert,1408
80,Van Der Voorde Sonja,1408,0.5,0.5,Hashemi Oshank,0
81,Huyghe Felix,0,1,0,Smeyers Johan,1368
